,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000-genome_0_condorpool,auxiliary,0,1658836511.0,,,1658836512.0,1658836516.0,1658836522.0,1658836522.0,1658836527.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,host-10-100-100-16.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-07-24T20:26:55+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0
individuals_ID0000047,compute,0,1658836527.0,,,1658836532.0,1658836537.0,1658839069.0,1658839069.0,1658839074.0,5.0,,5.0,2532.0,5.0,213.0,2539481399.0,4.0,1490042.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_11482/pegasus.qsJfLmfwV/individuals,,2287.0,0,0
individuals_ID0000046,compute,0,1658836527.0,,,1658836532.0,1658836537.0,1658838999.0,1658838999.0,1658839004.0,5.0,,5.0,2462.0,5.0,211.0,2539481399.0,4.0,960316.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_11614/pegasus.3vXvbwCI3/individuals,,2230.0,0,0
individuals_ID0000045,compute,0,1658836527.0,,,1658836532.0,1658836536.0,1658840025.0,1658840025.0,1658840030.0,5.0,,4.0,3489.0,5.0,196.0,2539481399.0,4.0,1312931.0,poseidon,condorpool,worker1-container-0-3,individuals,/var/lib/condor/execute/dir_13495/pegasus.PpdLS68Ho/individuals,,2081.8,0,0
individuals_ID0000044,compute,0,1658836527.0,,,1658836532.0,1658836536.0,1658838974.0,1658838974.0,1658838979.0,5.0,,4.0,2438.0,5.0,182.0,2539481399.0,5.0,1029197.0,poseidon,condorpool,worker1-container-8-11,individuals,/var/lib/condor/execute/dir_11291/pegasus.5ZjZZJWz2/individuals,,2230.5,0,0
individuals_ID0000049,compute,0,1658836527.0,,,1658836532.0,1658836536.0,1658839109.0,1658839109.0,1658839114.0,5.0,,4.0,2573.0,5.0,215.0,2539481399.0,4.0,1438465.0,poseidon,condorpool,worker1-container-36-39,individuals,/var/lib/condor/execute/dir_12217/pegasus.GmZx83uMq/individuals,,2333.4,0,0
individuals_ID0000048,compute,0,1658836527.0,,,1658836532.0,1658836536.0,1658839064.0,1658839064.0,1658839069.0,5.0,,4.0,2528.0,5.0,217.0,2539481399.0,5.0,1174910.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_12622/pegasus.gEnDDpx9Q/individuals,,2279.6,0,0
individuals_ID0000032,compute,0,1658836527.0,,,1658836532.0,1658836536.0,1658838994.0,1658838994.0,1658838999.0,5.0,,4.0,2458.0,5.0,197.0,2539481399.0,4.0,1644447.0,poseidon,condorpool,worker2-container-36-39,individuals,/var/lib/condor/execute/dir_10568/pegasus.qeyEYgvzI/individuals,,2233.2,0,0
individuals_ID0000031,compute,0,1658836527.0,,,1658836532.0,1658836536.0,1658839039.0,1658839039.0,1658839044.0,5.0,,4.0,2503.0,5.0,217.0,2539481399.0,5.0,1885844.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_13162/pegasus.tBiLAmVts/individuals,,2260.7,0,0
individuals_ID0000030,compute,0,1658836527.0,,,1658836532.0,1658836536.0,1658839114.0,1658839114.0,1658839119.0,5.0,,4.0,2578.0,5.0,178.0,2539481399.0,4.0,2294277.0,poseidon,condorpool,worker1-container-28-31,individuals,/var/lib/condor/execute/dir_12368/pegasus.ci9hqPNnR/individuals,,2369.3,0,0
individuals_ID0000036,compute,0,1658836527.0,,,1658836532.0,1658836536.0,1658838969.0,1658838969.0,1658838974.0,5.0,,4.0,2433.0,5.0,110.0,2539481399.0,4.0,844543.0,poseidon,condorpool,worker2-container-16-19,individuals,/var/lib/condor/execute/dir_12893/pegasus.halOwexrx/individuals,,2302.2,0,0
sifting_ID0000104,compute,0,1658836527.0,,,1658836532.0,1658836537.0,1658836728.0,1658836728.0,1658836733.0,5.0,,5.0,191.0,5.0,156.0,1708159164.0,4.0,1055195.0,poseidon,condorpool,worker2-container-20-23,sifting,/var/lib/condor/execute/dir_11191/pegasus.htQu7FN6o/sifting,,4.4,0,0
