,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000-genome_0_condorpool,normal,auxiliary,0,1663169794.0,,,1663169795.0,1663169801.0,1663169805.0,1663169805.0,1663169810.0,1.0,,6.0,4.0,5.0,,,,,poseidon,local,host-10-100-100-233.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-08-03T06:30:23+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0
individuals_ID0000047,normal,compute,0,1663169810.0,,,1663169815.0,1663169837.0,1663170856.0,1663170856.0,1663170861.0,5.0,,22.0,1019.0,5.0,65.0,1014283276.0,4.0,387927.0,poseidon,condorpool,worker2-container-32-35,individuals,/var/lib/condor/execute/dir_18403/pegasus.5TGZ1ztG7/individuals,,932.4,0,0
individuals_ID0000046,normal,compute,0,1663169810.0,,,1663169815.0,1663169837.0,1663170841.0,1663170841.0,1663170846.0,5.0,,22.0,1004.0,5.0,70.0,1014283276.0,4.0,357097.0,poseidon,condorpool,worker1-container-12-15,individuals,/var/lib/condor/execute/dir_19786/pegasus.mriFr4MHh/individuals,,908.8,0,0
individuals_ID0000045,normal,compute,0,1663169810.0,,,1663169815.0,1663169837.0,1663170971.0,1663170971.0,1663170976.0,5.0,,22.0,1134.0,5.0,70.0,1014283276.0,4.0,337397.0,poseidon,condorpool,worker1-container-0-3,individuals,/var/lib/condor/execute/dir_26051/pegasus.JeYSARrpZ/individuals,,889.8,0,0
individuals_ID0000044,normal,compute,0,1663169810.0,,,1663169815.0,1663169837.0,1663170896.0,1663170896.0,1663170901.0,5.0,,22.0,1059.0,5.0,62.0,1014283276.0,5.0,465512.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_13801/pegasus.PzYsQIgmZ/individuals,,919.1,0,0
individuals_ID0000049,normal,compute,0,1663169810.0,,,1663169815.0,1663169837.0,1663170851.0,1663170851.0,1663170856.0,5.0,,22.0,1014.0,5.0,49.0,1014283276.0,4.0,409373.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_16300/pegasus.0qlFj4ln1/individuals,,941.4,0,0
individuals_ID0000048,normal,compute,0,1663169810.0,,,1663169815.0,1663169837.0,1663170801.0,1663170801.0,1663170806.0,5.0,,22.0,964.0,5.0,49.0,1014283276.0,5.0,488684.0,poseidon,condorpool,worker1-container-28-31,individuals,/var/lib/condor/execute/dir_18544/pegasus.nrkGDnvxb/individuals,,894.1,0,0
individuals_ID0000032,normal,compute,0,1663169810.0,,,1663169815.0,1663169837.0,1663170831.0,1663170831.0,1663170836.0,5.0,,22.0,994.0,5.0,54.0,1014283276.0,5.0,325473.0,poseidon,condorpool,worker1-container-4-7,individuals,/var/lib/condor/execute/dir_27537/pegasus.LUT3DIGXK/individuals,,920.5,0,0
individuals_ID0000031,normal,compute,0,1663169810.0,,,1663169815.0,1663169837.0,1663170871.0,1663170871.0,1663170876.0,5.0,,22.0,1034.0,5.0,45.0,1014283276.0,4.0,259927.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_20191/pegasus.B8PjvJB6E/individuals,,968.4,0,0
individuals_ID0000030,normal,compute,0,1663169810.0,,,1663169815.0,1663169837.0,1663170866.0,1663170866.0,1663170871.0,5.0,,22.0,1029.0,5.0,57.0,1014283276.0,4.0,221486.0,poseidon,condorpool,worker1-container-20-23,individuals,/var/lib/condor/execute/dir_24806/pegasus.a7rSJYuFP/individuals,,932.4,0,0
