,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000-genome_0_condorpool,normal,auxiliary,0,1663090306.0,,,1663090307.0,1663090312.0,1663090317.0,1663090317.0,1663090322.0,1.0,,5.0,5.0,5.0,,,,,poseidon,local,host-10-100-100-233.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-08-03T06:30:23+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0
individuals_ID0000047,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663095094.0,1663095094.0,1663095099.0,5.0,,21.0,4746.0,5.0,54.0,1014283276.0,4.0,389144.0,poseidon,condorpool,worker1-container-28-31,individuals,/var/lib/condor/execute/dir_112543/pegasus.tVC9X2Y7T/individuals,,778.7,0,0
individuals_ID0000046,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663095584.0,1663095584.0,1663095589.0,5.0,,21.0,5236.0,5.0,45.0,1014283276.0,5.0,358373.0,poseidon,condorpool,worker1-container-8-11,individuals,/var/lib/condor/execute/dir_136296/pegasus.5bYocc8ho/individuals,,761.4,0,0
individuals_ID0000045,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663092446.0,1663092446.0,1663092451.0,5.0,,21.0,2098.0,5.0,69.0,1014283276.0,5.0,337936.0,poseidon,condorpool,worker1-container-16-19,individuals,/var/lib/condor/execute/dir_119273/pegasus.HevbEc010/individuals,,769.4,0,0
individuals_ID0000044,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663095704.0,1663095704.0,1663095709.0,5.0,,21.0,5356.0,5.0,37.0,1014283276.0,5.0,466930.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_134490/pegasus.M4qOYvGhU/individuals,,768.3,0,0
individuals_ID0000049,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663095279.0,1663095279.0,1663095284.0,5.0,,21.0,4931.0,5.0,46.0,1014283276.0,4.0,410675.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_128851/pegasus.elq5tbrLh/individuals,,767.5,0,0
individuals_ID0000048,normal,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663095789.0,1663095789.0,1663095794.0,5.0,,21.0,5441.0,5.0,38.0,1014283276.0,5.0,490275.0,poseidon,condorpool,worker2-container-32-35,individuals,/var/lib/condor/execute/dir_132369/pegasus.nrWnqTjly/individuals,,766.0,0,0
individuals_ID0000032,normal,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663093928.0,1663093928.0,1663093933.0,5.0,,21.0,3580.0,5.0,40.0,1014283276.0,5.0,326558.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_118182/pegasus.EfAtsshhW/individuals,,779.2,0,0
individuals_ID0000031,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663094639.0,1663094639.0,1663094644.0,5.0,,21.0,4291.0,5.0,39.0,1014283276.0,4.0,260993.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_138888/pegasus.Ep6QzE3fH/individuals,,795.5,0,0
individuals_ID0000030,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663095504.0,1663095504.0,1663095509.0,5.0,,21.0,5156.0,5.0,45.0,1014283276.0,5.0,222934.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_121981/pegasus.WNRzg50xP/individuals,,785.5,0,0
individuals_ID0000036,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663092751.0,1663092751.0,1663092756.0,5.0,,21.0,2403.0,5.0,74.0,1014283276.0,5.0,216719.0,poseidon,condorpool,worker1-container-24-27,individuals,/var/lib/condor/execute/dir_100548/pegasus.y80z11v6T/individuals,,788.9,0,0
sifting_ID0000104,normal,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663090452.0,1663090452.0,1663090457.0,5.0,,21.0,104.0,5.0,68.0,1708159164.0,5.0,1055195.0,poseidon,condorpool,worker1-container-20-23,sifting,/var/lib/condor/execute/dir_97338/pegasus.Iitz7DtEh/sifting,,4.2,0,0
individuals_ID0000035,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663092471.0,1663092471.0,1663092476.0,5.0,,21.0,2123.0,5.0,65.0,1014283276.0,5.0,410017.0,poseidon,condorpool,worker2-container-36-39,individuals,/var/lib/condor/execute/dir_140222/pegasus.8NYr7W7KJ/individuals,,765.6,0,0
individuals_ID0000033,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663095089.0,1663095089.0,1663095094.0,5.0,,21.0,4741.0,5.0,39.0,1014283276.0,5.0,417471.0,poseidon,condorpool,worker1-container-12-15,individuals,/var/lib/condor/execute/dir_133157/pegasus.GQ53A8UBM/individuals,,782.9,0,0
individuals_ID0000039,normal,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663093463.0,1663093463.0,1663093468.0,5.0,,21.0,3115.0,5.0,67.0,1014283276.0,4.0,279502.0,poseidon,condorpool,worker1-container-36-39,individuals,/var/lib/condor/execute/dir_102166/pegasus.54V6zsrlJ/individuals,,791.8,0,0
individuals_ID0000038,normal,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663093117.0,1663093117.0,1663093122.0,5.0,,21.0,2769.0,5.0,50.0,1014283276.0,4.0,303753.0,poseidon,condorpool,worker1-container-4-7,individuals,/var/lib/condor/execute/dir_139309/pegasus.zWZyb4VrH/individuals,,767.5,0,0
individuals_ID0000037,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663095759.0,1663095759.0,1663095764.0,5.0,,21.0,5411.0,5.0,70.0,1014283276.0,5.0,277263.0,poseidon,condorpool,worker1-container-0-3,individuals,/var/lib/condor/execute/dir_155869/pegasus.Ygzsikcwm/individuals,,755.9,0,0
individuals_ID0000021,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663095819.0,1663095819.0,1663095824.0,5.0,,21.0,5471.0,5.0,57.0,1014283276.0,5.0,610231.0,poseidon,condorpool,worker1-container-32-35,individuals,/var/lib/condor/execute/dir_117560/pegasus.p5lqvCwdK/individuals,,770.1,0,0
individuals_ID0000020,normal,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663091638.0,1663091638.0,1663091643.0,5.0,,21.0,1290.0,5.0,40.0,1014283276.0,4.0,338122.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_118181/pegasus.jHItw8dO6/individuals,,766.3,0,0
individuals_ID0000025,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663093468.0,1663093468.0,1663093473.0,5.0,,21.0,3120.0,5.0,74.0,1014283276.0,5.0,506170.0,poseidon,condorpool,worker1-container-24-27,individuals,/var/lib/condor/execute/dir_100547/pegasus.Sp0OMNDlf/individuals,,764.6,0,0
individuals_ID0000024,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663095789.0,1663095789.0,1663095794.0,5.0,,21.0,5441.0,5.0,38.0,1014283276.0,5.0,342418.0,poseidon,condorpool,worker2-container-16-19,individuals,/var/lib/condor/execute/dir_125575/pegasus.m1SdECcSL/individuals,,768.5,0,0
individuals_ID0000023,normal,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663093993.0,1663093993.0,1663093998.0,5.0,,21.0,3645.0,5.0,53.0,1014283276.0,5.0,226254.0,poseidon,condorpool,worker1-container-20-23,individuals,/var/lib/condor/execute/dir_97336/pegasus.h4eK2tw6J/individuals,,797.4,0,0
individuals_ID0000022,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663095509.0,1663095509.0,1663095514.0,5.0,,21.0,5161.0,5.0,70.0,1014283276.0,4.0,237319.0,poseidon,condorpool,worker1-container-28-31,individuals,/var/lib/condor/execute/dir_112541/pegasus.LM8bpwkyc/individuals,,774.1,0,0
individuals_ID0000034,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663093372.0,1663093372.0,1663093377.0,5.0,,21.0,3024.0,5.0,61.0,1014283276.0,5.0,287172.0,poseidon,condorpool,worker2-container-24-27,individuals,/var/lib/condor/execute/dir_131476/pegasus.wzsFdLdYL/individuals,,792.5,0,0
individuals_ID0000029,cpu_2,compute,0,1663090322.0,,,1663090327.0,1663090348.0,1663091824.0,1663091824.0,1663091829.0,5.0,,21.0,1476.0,5.0,54.0,1014283276.0,5.0,228437.0,poseidon,condorpool,worker1-container-16-19,individuals,/var/lib/condor/execute/dir_119271/pegasus.C1BC5b4e2/individuals,,753.9,0,0
