,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_casa-nowcast-full_0_condorpool,None,auxiliary,0,1703512304.0,,,1703512305.0,,,0.0,1703512311.0,1703512316.0,,,0.0,1703512316.0,1703512321.0,1.0,,6.0,5.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L casa-nowcast-full -T 2023-12-19T22:54:40+00:00 pegasus-transfer,0.2,0,0,,,,,,,,,
NowcastToWDSS2_ID0001261,None,compute,0,1703512321.0,,,1703512326.0,1703512340.0,1703512352.0,33302420.4,1703512339.0,1703512366.0,1703512357.0,1703512361.0,1263205.0,1703512366.0,1703512371.0,5.0,,13.0,27.0,5.0,12.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-32-35,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000190,None,compute,0,1703512321.0,,,1703512326.0,1703512335.0,1703512346.0,27983627.8,1703512333.0,1703512366.0,1703512352.0,1703512356.0,1242300.0,1703512366.0,1703512371.0,5.0,,7.0,33.0,5.0,11.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-40-43,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0001387,cpu_3,compute,0,1703512321.0,,,1703512326.0,1703512340.0,1703512351.0,29154011.5,1703512338.0,1703512366.0,1703512356.0,1703512360.0,1275169.0,1703512366.0,1703512371.0,5.0,,12.0,28.0,5.0,11.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-0-3,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000694,None,compute,0,1703512321.0,,,1703512326.0,1703512341.0,1703512352.0,31596939.2,1703512339.0,1703512371.0,1703512357.0,1703512361.0,1269308.0,1703512371.0,1703512376.0,5.0,,13.0,32.0,5.0,11.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-44-47,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000631,None,compute,0,1703512321.0,,,1703512326.0,1703512338.0,1703512349.0,30287013.0,1703512336.0,1703512366.0,1703512354.0,1703512358.0,1266549.0,1703512366.0,1703512371.0,5.0,,10.0,30.0,5.0,11.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-36-39,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000253,None,compute,0,1703512321.0,,,1703512326.0,1703512335.0,1703512346.0,28324746.2,1703512333.0,1703512361.0,1703512351.0,1703512356.0,1248375.0,1703512361.0,1703512366.0,5.0,,7.0,28.0,5.0,11.0,170460244.0,5.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-4-7,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000757,None,compute,0,1703512321.0,,,1703512326.0,1703512335.0,1703512347.0,30255197.0,1703512334.0,1703512366.0,1703512352.0,1703512356.0,1247443.0,1703512366.0,1703512371.0,5.0,,8.0,32.0,5.0,12.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-4-7,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0001765,None,compute,0,1703512321.0,,,1703512326.0,1703512335.0,1703512353.0,14244734.5,1703512334.0,1703512371.0,1703512358.0,1703512362.0,1268958.0,1703512371.0,1703512376.0,5.0,,8.0,37.0,5.0,18.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-8-11,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000379,None,compute,0,1703512321.0,,,1703512326.0,1703512335.0,1703512346.0,32177152.2,1703512333.0,1703512361.0,1703512351.0,1703512355.0,1256942.0,1703512361.0,1703512366.0,5.0,,7.0,28.0,5.0,11.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-20-23,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
