,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_casa-nowcast-small_0_condorpool,None,auxiliary,0,1707998234.0,,,1707998235.0,,,0.0,1707998239.0,1707998245.0,,,0.0,1707998245.0,1707998250.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L casa-nowcast-small -T 2024-01-31T00:08:22+00:00 pegasus-transfer,0.3,0,0,,,,,,,,,
NowcastToWDSS2_ID0000253,None,compute,0,1707998250.0,,,1707998255.0,1707998277.0,1707998288.0,30463083.8,1707998275.0,1707998305.0,1707998293.0,1707998297.0,1284796.0,1707998305.0,1707998311.0,5.0,,20.0,30.0,6.0,11.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-28-31,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000064,None,compute,0,1707998250.0,,,1707998255.0,1707998277.0,1707998288.0,30079397.0,1707998275.0,1707998305.0,1707998293.0,1707998297.0,1281108.0,1707998305.0,1707998311.0,5.0,,20.0,30.0,6.0,11.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-40-43,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000001,None,compute,0,1707998250.0,,,1707998255.0,1707998277.0,1707998288.0,29122831.8,1707998275.0,1707998305.0,1707998293.0,1707998297.0,1286124.0,1707998305.0,1707998311.0,5.0,,20.0,30.0,6.0,11.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-0-3,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.0,0,0,,,,,,,,,
NowcastToWDSS2_ID0000316,cpu_3,compute,0,1707998250.0,,,1707998255.0,1707998277.0,1707998287.0,30482901.0,1707998275.0,1707998305.0,1707998293.0,1707998297.0,1278155.0,1707998305.0,1707998311.0,5.0,,20.0,30.0,6.0,10.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-24-27,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000190,None,compute,0,1707998250.0,,,1707998255.0,1707998277.0,1707998288.0,30332441.0,1707998275.0,1707998305.0,1707998293.0,1707998297.0,1276632.0,1707998305.0,1707998311.0,5.0,,20.0,30.0,6.0,11.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-44-47,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000127,None,compute,0,1707998250.0,,,1707998255.0,1707998278.0,1707998289.0,33204102.0,1707998276.0,1707998306.0,1707998294.0,1707998298.0,1282840.0,1707998306.0,1707998311.0,5.0,,21.0,30.0,5.0,11.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-40-43,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
mrtV2_ID0000206,None,compute,0,1707998311.0,,,1707998316.0,1707998320.0,1707998334.0,21397301.1,1707998318.0,1707998349.0,1707998339.0,1707998342.0,3163.0,1707998349.0,1707998354.0,5.0,,2.0,31.0,5.0,14.0,160605089.0,3.0,10254.0,poseidon,condorpool,poseidon-worker-2-container-40-43,mrtV2,/opt/mrtV2/mrtV2,,0.1,0,0,,,,,,,,,
merged_netcdf2png_ID0000243,cpu_3,compute,0,1707998311.0,,,1707998316.0,1707998332.0,1707998344.0,26872971.5,1707998323.0,1707998359.0,1707998349.0,1707998353.0,6522.0,1707998359.0,1707998364.0,5.0,,7.0,36.0,5.0,12.0,160656166.0,4.0,21751.0,poseidon,condorpool,poseidon-worker-1-container-4-7,merged_netcdf2png,/opt/netcdf2png/merged_netcdf2png,,0.1,0,0,,,,,,,,,
mrtV2_ID0000205,cpu_3,compute,0,1707998311.0,,,1707998316.0,1707998325.0,1707998337.0,25233398.7,1707998319.0,1707998354.0,1707998343.0,1707998346.0,3041.0,1707998354.0,1707998359.0,5.0,,3.0,35.0,5.0,12.0,160605089.0,3.0,10237.0,poseidon,condorpool,poseidon-worker-1-container-0-3,mrtV2,/opt/mrtV2/mrtV2,,0.1,0,0,,,,,,,,,
