,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_variant-calling_0_condorpool,None,auxiliary,0,1700523751.0,,,1700523752.0,,,0.0,1700523756.0,1700523762.0,,,0.0,1700523762.0,1700523767.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L variant-calling -T 2023-11-15T22:51:21+00:00 pegasus-transfer,0.3,0,0,,,,,,,,,
bwa_ID0000309,None,compute,0,1700523767.0,,,1700523773.0,1700523779.0,1700523797.0,33374603.4,1700523777.0,1700523818.0,1700523804.0,1700523808.0,2431359.0,1700523818.0,1700523823.0,6.0,,4.0,41.0,5.0,18.0,373196673.0,4.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-40-43,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.4,0,0,,,,,,,,,
bwa_ID0000144,cpu_3,compute,0,1700523767.0,,,1700523773.0,1700523784.0,1700523800.0,45479210.5,1700523781.0,1700523818.0,1700523809.0,1700523812.0,2437600.0,1700523818.0,1700523823.0,6.0,,8.0,37.0,5.0,16.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-40-43,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.6,0,0,,,,,,,,,
bwa_ID0000166,None,compute,0,1700523767.0,,,1700523773.0,1700523784.0,1700523799.0,49108890.0,1700523781.0,1700523818.0,1700523806.0,1700523810.0,2362430.0,1700523818.0,1700523823.0,6.0,,8.0,37.0,5.0,15.0,373196673.0,4.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-36-39,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.7,0,0,,,,,,,,,
bwa_ID0000188,cpu_3,compute,0,1700523767.0,,,1700523773.0,1700523784.0,1700523798.0,58038516.4,1700523782.0,1700523818.0,1700523806.0,1700523809.0,2458463.0,1700523818.0,1700523823.0,6.0,,9.0,36.0,5.0,14.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-44-47,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.7,0,0,,,,,,,,,
bwa_ID0000023,cpu_3,compute,0,1700523767.0,,,1700523773.0,1700523784.0,1700523798.0,53850134.7,1700523782.0,1700523818.0,1700523806.0,1700523809.0,2379895.0,1700523818.0,1700523823.0,6.0,,9.0,36.0,5.0,14.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-28-31,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.8,0,0,,,,,,,,,
bwa_ID0000045,None,compute,0,1700523767.0,,,1700523773.0,1700523784.0,1700523797.0,59151268.2,1700523781.0,1700523818.0,1700523804.0,1700523808.0,2343854.0,1700523818.0,1700523823.0,6.0,,8.0,37.0,5.0,13.0,373196673.0,4.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-0-3,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000067,cpu_3,compute,0,1700523767.0,,,1700523773.0,1700523778.0,1700523796.0,37270204.6,1700523777.0,1700523813.0,1700523803.0,1700523806.0,2463997.0,1700523813.0,1700523818.0,6.0,,4.0,36.0,5.0,18.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-0-3,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000287,cpu_3,compute,0,1700523767.0,,,1700523773.0,1700523778.0,1700523795.0,42171223.2,1700523777.0,1700523813.0,1700523802.0,1700523805.0,2430411.0,1700523813.0,1700523818.0,6.0,,4.0,36.0,5.0,17.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-4-7,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.6,0,0,,,,,,,,,
bwa_ID0000265,cpu_3,compute,0,1700523767.0,,,1700523772.0,1700523778.0,1700523802.0,23668579.3,1700523776.0,1700523823.0,1700523810.0,1700523813.0,2458709.0,1700523823.0,1700523828.0,5.0,,4.0,47.0,5.0,24.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-8-11,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000320,cpu_3,compute,0,1700523767.0,,,1700523772.0,1700523780.0,1700523805.0,20916675.0,1700523778.0,1700523823.0,1700523812.0,1700523815.0,2451769.0,1700523823.0,1700523828.0,5.0,,6.0,45.0,5.0,25.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-12-15,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.4,0,0,,,,,,,,,
bwa_ID0000221,cpu_3,compute,0,1700523767.0,,,1700523772.0,1700523778.0,1700523799.0,29157984.8,1700523777.0,1700523818.0,1700523806.0,1700523810.0,2356574.0,1700523818.0,1700523823.0,5.0,,5.0,41.0,5.0,21.0,373196673.0,4.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-12-15,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.7,0,0,,,,,,,,,
bwa_ID0000100,cpu_3,compute,0,1700523767.0,,,1700523772.0,1700523779.0,1700523804.0,21669299.8,1700523778.0,1700523823.0,1700523811.0,1700523814.0,2426827.0,1700523823.0,1700523828.0,5.0,,6.0,45.0,5.0,25.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-24-27,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000243,cpu_3,compute,0,1700523767.0,,,1700523772.0,1700523779.0,1700523794.0,50848286.3,1700523777.0,1700523813.0,1700523800.0,1700523804.0,2459690.0,1700523813.0,1700523818.0,5.0,,5.0,36.0,5.0,15.0,373196673.0,4.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-20-23,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000001,cpu_3,compute,0,1700523767.0,,,1700523772.0,1700523778.0,1700523794.0,43679631.5,1700523776.0,1700523813.0,1700523801.0,1700523805.0,2418103.0,1700523813.0,1700523818.0,5.0,,4.0,37.0,5.0,16.0,373196673.0,4.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-8-11,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000089,None,compute,0,1700523767.0,,,1700523773.0,1700523778.0,1700523798.0,31175765.4,1700523777.0,1700523818.0,1700523805.0,1700523808.0,2440283.0,1700523818.0,1700523823.0,6.0,,4.0,41.0,5.0,20.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-4-7,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000012,cpu_3,compute,0,1700523767.0,,,1700523772.0,1700523779.0,1700523795.0,44405238.8,1700523777.0,1700523813.0,1700523802.0,1700523805.0,2404271.0,1700523813.0,1700523818.0,5.0,,5.0,36.0,5.0,16.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-40-43,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.7,0,0,,,,,,,,,
bwa_ID0000122,None,compute,0,1700523767.0,,,1700523772.0,1700523778.0,1700523795.0,42275592.2,1700523776.0,1700523813.0,1700523802.0,1700523805.0,2392726.0,1700523813.0,1700523818.0,5.0,,4.0,37.0,5.0,17.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-24-27,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.4,0,0,,,,,,,,,
bwa_ID0000111,None,compute,0,1700523767.0,,,1700523772.0,1700523779.0,1700523800.0,27829509.0,1700523777.0,1700523818.0,1700523807.0,1700523810.0,2413831.0,1700523818.0,1700523823.0,5.0,,5.0,41.0,5.0,21.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-0-3,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000232,None,compute,0,1700523767.0,,,1700523772.0,1700523779.0,1700523799.0,31040728.7,1700523777.0,1700523818.0,1700523806.0,1700523810.0,2325595.0,1700523818.0,1700523823.0,5.0,,5.0,41.0,5.0,20.0,373196673.0,4.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-36-39,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.8,0,0,,,,,,,,,
bwa_ID0000210,None,compute,0,1700523767.0,,,1700523772.0,1700523779.0,1700523800.0,27450353.5,1700523777.0,1700523818.0,1700523807.0,1700523810.0,2449904.0,1700523818.0,1700523823.0,5.0,,5.0,41.0,5.0,21.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-40-43,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.4,0,0,,,,,,,,,
bwa_ID0000078,None,compute,0,1700523767.0,,,1700523772.0,1700523779.0,1700523804.0,21398714.2,1700523777.0,1700523823.0,1700523811.0,1700523814.0,2447736.0,1700523823.0,1700523828.0,5.0,,5.0,46.0,5.0,25.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-36-39,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.4,0,0,,,,,,,,,
bwa_ID0000056,cpu_3,compute,0,1700523767.0,,,1700523772.0,1700523779.0,1700523804.0,21889374.6,1700523777.0,1700523823.0,1700523811.0,1700523814.0,2443279.0,1700523823.0,1700523828.0,5.0,,5.0,46.0,5.0,25.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-44-47,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000177,None,compute,0,1700523767.0,,,1700523772.0,1700523779.0,1700523794.0,52425562.9,1700523778.0,1700523813.0,1700523801.0,1700523804.0,2443101.0,1700523813.0,1700523818.0,5.0,,6.0,35.0,5.0,15.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-16-19,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000199,cpu_3,compute,0,1700523767.0,,,1700523772.0,1700523779.0,1700523802.0,24592085.3,1700523777.0,1700523823.0,1700523810.0,1700523813.0,2454983.0,1700523823.0,1700523828.0,5.0,,5.0,46.0,5.0,23.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-28-31,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.6,0,0,,,,,,,,,
bwa_ID0000155,cpu_3,compute,0,1700523767.0,,,1700523772.0,1700523780.0,1700523793.0,56665118.3,1700523778.0,1700523813.0,1700523801.0,1700523804.0,2353606.0,1700523813.0,1700523818.0,5.0,,6.0,35.0,5.0,13.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-20-23,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000133,cpu_3,compute,0,1700523767.0,,,1700523772.0,1700523779.0,1700523797.0,36943959.7,1700523777.0,1700523818.0,1700523805.0,1700523808.0,2208629.0,1700523818.0,1700523823.0,5.0,,5.0,41.0,5.0,18.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-44-47,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000298,cpu_3,compute,0,1700523767.0,,,1700523772.0,1700523780.0,1700523795.0,46818446.3,1700523778.0,1700523813.0,1700523802.0,1700523805.0,2421850.0,1700523813.0,1700523818.0,5.0,,6.0,35.0,5.0,15.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-16-19,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.6,0,0,,,,,,,,,
bwa_ID0000276,cpu_3,compute,0,1700523767.0,,,1700523772.0,1700523780.0,1700523794.0,50980202.3,1700523778.0,1700523813.0,1700523801.0,1700523805.0,2372851.0,1700523813.0,1700523818.0,5.0,,6.0,35.0,5.0,14.0,373196673.0,4.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-32-35,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.6,0,0,,,,,,,,,
bwa_ID0000254,None,compute,0,1700523767.0,,,1700523772.0,1700523778.0,1700523794.0,44468651.1,1700523777.0,1700523813.0,1700523801.0,1700523804.0,2439456.0,1700523813.0,1700523818.0,5.0,,5.0,36.0,5.0,16.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-28-31,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
