start_time,end_time,workflow,experiment_type,workers_with_anomaly
1659744771,1659747106,1000-genome,normal,
1659747134,1659749649,1000-genome,normal,
1659749677,1659752028,1000-genome,normal,
1659752040,1659754386,1000-genome,normal,
1659754403,1659756732,1000-genome,normal,
1659756735,1659759106,1000-genome,normal,
1659759133,1659761492,1000-genome,normal,
1659761495,1659763820,1000-genome,normal,
1659763828,1659766172,1000-genome,normal,
1659766190,1659768547,1000-genome,normal,
1659768553,1659770884,1000-genome,normal,
1659770890,1659773230,1000-genome,normal,
1659773253,1659775589,1000-genome,normal,
1659775620,1659777963,1000-genome,normal,
1659777988,1659780333,1000-genome,normal,
1659780350,1659782690,1000-genome,normal,
1659782718,1659785063,1000-genome,normal,
1659785085,1659787427,1000-genome,normal,
1659787448,1659789814,1000-genome,normal,
1659789846,1659792187,1000-genome,normal,
1659792208,1659794562,1000-genome,normal,
1659794571,1659796916,1000-genome,normal,
1659796938,1659799289,1000-genome,normal,
1659799301,1659801658,1000-genome,normal,
1659801664,1659804007,1000-genome,normal,
1659804026,1659806361,1000-genome,normal,
1659806389,1659808727,1000-genome,normal,
1659808751,1659811097,1000-genome,normal,
1659811119,1659813463,1000-genome,normal,
1659813486,1659815844,1000-genome,normal,
1659815849,1659818194,1000-genome,normal,
1659818212,1659820583,1000-genome,normal,
1659820609,1659822958,1000-genome,normal,
1659822972,1659825316,1000-genome,normal,
1659825334,1659827675,1000-genome,normal,
1659827697,1659830035,1000-genome,normal,
1659830059,1659832398,1000-genome,normal,
1659832422,1659834777,1000-genome,normal,
1659834785,1659837122,1000-genome,normal,
1659837147,1659839495,1000-genome,normal,
1659839515,1659841862,1000-genome,normal,
1659841878,1659844224,1000-genome,normal,
1659844245,1659846583,1000-genome,normal,
1659846608,1659848950,1000-genome,normal,
1659848971,1659851317,1000-genome,normal,
1659851339,1659853688,1000-genome,normal,
1659853701,1659856033,1000-genome,normal,
1659856033,1659858381,1000-genome,normal,
1659858396,1659860741,1000-genome,normal,
1659860759,1659863110,1000-genome,normal,
1659981271,1659983825,1000-genome,cpu_2,worker2-container-4-7 worker2-container-24-27 worker1-container-4-7 worker1-container-20-23 worker2-container-8-11
1659983845,1659986568,1000-genome,cpu_2,worker1-container-4-7 worker2-container-24-27 worker2-container-8-11 worker2-container-4-7 worker1-container-20-23
1659986601,1659989307,1000-genome,cpu_2,worker1-container-4-7 worker2-container-24-27 worker1-container-20-23 worker2-container-4-7 worker2-container-8-11
1659989326,1659991880,1000-genome,cpu_2,worker1-container-20-23 worker1-container-4-7 worker2-container-8-11 worker2-container-4-7 worker2-container-24-27
1659991900,1659994479,1000-genome,cpu_2,worker1-container-4-7 worker1-container-20-23 worker2-container-8-11 worker2-container-4-7 worker2-container-24-27
1659994505,1659997323,1000-genome,cpu_2,worker2-container-4-7 worker2-container-24-27 worker1-container-4-7 worker2-container-8-11 worker1-container-20-23
1659997351,1660000056,1000-genome,cpu_2,worker1-container-4-7 worker2-container-24-27 worker2-container-8-11 worker2-container-4-7 worker1-container-20-23
1660000077,1660002893,1000-genome,cpu_2,worker1-container-4-7 worker2-container-24-27 worker1-container-20-23 worker2-container-8-11 worker2-container-4-7
1660002923,1660005518,1000-genome,cpu_2,worker2-container-4-7 worker1-container-4-7 worker2-container-24-27 worker1-container-20-23 worker2-container-8-11
1660005528,1660008624,1000-genome,cpu_2,worker2-container-4-7 worker2-container-24-27 worker2-container-8-11 worker1-container-4-7 worker1-container-20-23
1660008646,1660011373,1000-genome,cpu_2,worker1-container-4-7 worker1-container-20-23 worker2-container-8-11 worker2-container-24-27 worker2-container-4-7
1660011402,1660014264,1000-genome,cpu_2,worker2-container-4-7 worker2-container-24-27 worker2-container-8-11 worker1-container-4-7 worker1-container-20-23
1660014278,1660017002,1000-genome,cpu_2,worker1-container-4-7 worker1-container-20-23 worker2-container-4-7 worker2-container-24-27 worker2-container-8-11
1660017034,1660019946,1000-genome,cpu_2,worker2-container-4-7 worker1-container-4-7 worker2-container-8-11 worker2-container-24-27 worker1-container-20-23
1660019971,1660022730,1000-genome,cpu_2,worker1-container-4-7 worker1-container-20-23 worker2-container-8-11 worker2-container-4-7 worker2-container-24-27
1660022757,1660025822,1000-genome,cpu_2,worker1-container-4-7 worker2-container-24-27 worker2-container-4-7 worker2-container-8-11 worker1-container-20-23
