,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000-genome_0_condorpool,auxiliary,0,1658761743.0,,,1658761744.0,1658761748.0,1658761754.0,1658761754.0,1658761759.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,host-10-100-100-16.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-07-24T20:26:55+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0
individuals_ID0000047,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764396.0,1658764396.0,1658764401.0,5.0,,21.0,2611.0,5.0,242.0,2539481399.0,5.0,1489834.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_12759/pegasus.pk7nqGD4P/individuals,,2304.1,0,0
individuals_ID0000046,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764767.0,1658764767.0,1658764772.0,5.0,,21.0,2982.0,5.0,543.0,2539481399.0,5.0,960200.0,poseidon,condorpool,worker1-container-12-15,individuals,/var/lib/condor/execute/dir_8964/pegasus.fGUiikQ8N/individuals,,2417.3,0,0
individuals_ID0000045,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658765332.0,1658765332.0,1658765337.0,5.0,,21.0,3547.0,5.0,266.0,2539481399.0,5.0,1313090.0,poseidon,condorpool,worker2-container-16-19,individuals,/var/lib/condor/execute/dir_12129/pegasus.rcylxX0EZ/individuals,,2169.7,0,0
individuals_ID0000044,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764917.0,1658764917.0,1658764922.0,5.0,,21.0,3132.0,5.0,804.0,2539481399.0,4.0,1029166.0,poseidon,condorpool,worker2-container-20-23,individuals,/var/lib/condor/execute/dir_10101/pegasus.b39JC9aLa/individuals,,2233.6,0,0
individuals_ID0000049,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764687.0,1658764687.0,1658764692.0,5.0,,21.0,2902.0,5.0,168.0,2539481399.0,5.0,1438430.0,poseidon,condorpool,worker1-container-4-7,individuals,/var/lib/condor/execute/dir_8319/pegasus.Ft0FG0061/individuals,,2387.7,0,0
individuals_ID0000048,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764732.0,1658764732.0,1658764737.0,5.0,,21.0,2947.0,5.0,475.0,2539481399.0,4.0,1174772.0,poseidon,condorpool,worker1-container-16-19,individuals,/var/lib/condor/execute/dir_9567/pegasus.7GVyiEChx/individuals,,2338.1,0,0
individuals_ID0000032,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764822.0,1658764822.0,1658764827.0,5.0,,21.0,3037.0,5.0,551.0,2539481399.0,4.0,1644589.0,poseidon,condorpool,worker1-container-0-3,individuals,/var/lib/condor/execute/dir_9597/pegasus.Pq8NBKo48/individuals,,2402.7,0,0
individuals_ID0000031,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764892.0,1658764892.0,1658764897.0,5.0,,21.0,3107.0,5.0,718.0,2539481399.0,5.0,1885672.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_9707/pegasus.ggbW1WQJx/individuals,,2313.0,0,0
individuals_ID0000030,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764381.0,1658764381.0,1658764386.0,5.0,,21.0,2596.0,5.0,226.0,2539481399.0,4.0,2294148.0,poseidon,condorpool,worker2-container-24-27,individuals,/var/lib/condor/execute/dir_14605/pegasus.qJq0STCM3/individuals,,2269.6,0,0
individuals_ID0000036,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764341.0,1658764341.0,1658764346.0,5.0,,21.0,2556.0,5.0,183.0,2539481399.0,4.0,844475.0,poseidon,condorpool,worker2-container-32-35,individuals,/var/lib/condor/execute/dir_15283/pegasus.23bSGkkVW/individuals,,2301.9,0,0
sifting_ID0000104,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658762840.0,1658762840.0,1658762845.0,5.0,,21.0,1055.0,5.0,180.0,1708159164.0,4.0,1055195.0,poseidon,condorpool,worker2-container-36-39,sifting,/var/lib/condor/execute/dir_14498/pegasus.ke9jSrM1L/sifting,,4.4,0,0
individuals_ID0000035,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658765072.0,1658765072.0,1658765077.0,5.0,,21.0,3287.0,5.0,883.0,2539481399.0,5.0,2879719.0,poseidon,condorpool,worker1-container-20-23,individuals,/var/lib/condor/execute/dir_9917/pegasus.C34vwukJq/individuals,,2382.0,0,0
individuals_ID0000033,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658765087.0,1658765087.0,1658765092.0,5.0,,21.0,3302.0,5.0,872.0,2539481399.0,4.0,1455542.0,poseidon,condorpool,worker1-container-36-39,individuals,/var/lib/condor/execute/dir_10331/pegasus.DkPdbD2Zb/individuals,,2294.5,0,0
individuals_ID0000039,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764837.0,1658764837.0,1658764842.0,5.0,,21.0,3052.0,5.0,608.0,2539481399.0,4.0,1272656.0,poseidon,condorpool,worker1-container-24-27,individuals,/var/lib/condor/execute/dir_10608/pegasus.DGOST6c0C/individuals,,2421.5,0,0
individuals_ID0000038,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764396.0,1658764396.0,1658764401.0,5.0,,21.0,2611.0,5.0,209.0,2539481399.0,5.0,1986809.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_17400/pegasus.bmHhESX8L/individuals,,2301.6,0,0
individuals_ID0000037,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764371.0,1658764371.0,1658764376.0,5.0,,21.0,2586.0,5.0,253.0,2539481399.0,5.0,1533084.0,poseidon,condorpool,worker2-container-36-39,individuals,/var/lib/condor/execute/dir_14495/pegasus.yuVDKHLOZ/individuals,,2266.6,0,0
individuals_ID0000021,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764792.0,1658764792.0,1658764797.0,5.0,,21.0,3007.0,5.0,501.0,2539481399.0,5.0,1385214.0,poseidon,condorpool,worker1-container-4-7,individuals,/var/lib/condor/execute/dir_8318/pegasus.0b1sgT5Mu/individuals,,2431.0,0,0
individuals_ID0000020,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764807.0,1658764807.0,1658764812.0,5.0,,21.0,3022.0,5.0,548.0,2539481399.0,4.0,1521226.0,poseidon,condorpool,worker1-container-16-19,individuals,/var/lib/condor/execute/dir_9566/pegasus.iltxMKGId/individuals,,2415.9,0,0
individuals_ID0000025,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764832.0,1658764832.0,1658764837.0,5.0,,21.0,3047.0,5.0,582.0,2539481399.0,4.0,2145758.0,poseidon,condorpool,worker1-container-8-11,individuals,/var/lib/condor/execute/dir_8098/pegasus.up5Zx146p/individuals,,2440.6,0,0
individuals_ID0000024,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764406.0,1658764406.0,1658764411.0,5.0,,21.0,2621.0,5.0,229.0,2539481399.0,4.0,1418319.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_10609/pegasus.rqsEXfRg4/individuals,,2294.2,0,0
individuals_ID0000023,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658765287.0,1658765287.0,1658765292.0,5.0,,21.0,3502.0,5.0,265.0,2539481399.0,4.0,1544135.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_19916/pegasus.qAxOvVAdS/individuals,,2245.2,0,0
individuals_ID0000022,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764376.0,1658764376.0,1658764381.0,5.0,,21.0,2591.0,5.0,266.0,2539481399.0,5.0,1057226.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_12757/pegasus.iyiSkG8IC/individuals,,2252.9,0,0
individuals_ID0000034,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658765037.0,1658765037.0,1658765042.0,5.0,,21.0,3252.0,5.0,912.0,2539481399.0,5.0,1552965.0,poseidon,condorpool,worker1-container-32-35,individuals,/var/lib/condor/execute/dir_10052/pegasus.h3b7g4AyR/individuals,,2266.0,0,0
individuals_ID0000029,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764862.0,1658764862.0,1658764867.0,5.0,,21.0,3077.0,5.0,494.0,2539481399.0,4.0,1919076.0,poseidon,condorpool,worker1-container-12-15,individuals,/var/lib/condor/execute/dir_8962/pegasus.SFRmTZBek/individuals,,2449.4,0,0
individuals_ID0000040,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764376.0,1658764376.0,1658764381.0,5.0,,21.0,2591.0,5.0,243.0,2539481399.0,4.0,1023860.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_19918/pegasus.bqxXS8HYW/individuals,,2248.3,0,0
individuals_ID0000042,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764797.0,1658764797.0,1658764802.0,5.0,,21.0,3012.0,5.0,552.0,2539481399.0,4.0,1082956.0,poseidon,condorpool,worker1-container-8-11,individuals,/var/lib/condor/execute/dir_8100/pegasus.tV7Hv3Tdg/individuals,,2399.7,0,0
individuals_ID0000061,compute,0,1658761759.0,,,1658761769.0,1658764426.0,1658766519.0,1658766519.0,1658766524.0,10.0,,2657.0,2093.0,5.0,72.0,2539402330.0,4.0,2623176.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_14629/pegasus.clnflwR9h/individuals,,2003.1,0,0
individuals_ID0000060,compute,0,1658761759.0,,,1658761769.0,1658764426.0,1658766519.0,1658766519.0,1658766524.0,10.0,,2657.0,2093.0,5.0,86.0,2539402330.0,5.0,3936763.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_19277/pegasus.c0KGzStQF/individuals,,1985.8,0,0
individuals_ID0000065,compute,0,1658761759.0,,,1658761764.0,1658764426.0,1658766474.0,1658766474.0,1658766479.0,5.0,,2662.0,2048.0,5.0,59.0,2539402330.0,5.0,1642400.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_12718/pegasus.MaQjvPPuE/individuals,,1971.8,0,0
individuals_ID0000064,compute,0,1658761759.0,,,1658761764.0,1658764426.0,1658766609.0,1658766609.0,1658766614.0,5.0,,2662.0,2183.0,5.0,77.0,2539402330.0,4.0,1899960.0,poseidon,condorpool,worker2-container-32-35,individuals,/var/lib/condor/execute/dir_17605/pegasus.jFcKjTnJY/individuals,,2067.3,0,0
individuals_ID0000063,compute,0,1658761759.0,,,1658761764.0,1658764426.0,1658766499.0,1658766499.0,1658766504.0,5.0,,2662.0,2073.0,5.0,44.0,2539402330.0,5.0,2938765.0,poseidon,condorpool,worker2-container-36-39,individuals,/var/lib/condor/execute/dir_16737/pegasus.8850iwZDw/individuals,,2006.6,0,0
individuals_ID0000062,compute,0,1658761759.0,,,1658761764.0,1658764426.0,1658766529.0,1658766529.0,1658766534.0,5.0,,2662.0,2103.0,5.0,82.0,2539402330.0,4.0,2082736.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_14628/pegasus.VS1veCslK/individuals,,1999.4,0,0
individuals_ID0000102,compute,0,1658761759.0,,,1658761764.0,1658764426.0,1658766529.0,1658766529.0,1658766534.0,5.0,,2662.0,2103.0,5.0,82.0,2539402330.0,5.0,1460602.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_19276/pegasus.BdWPnm6gf/individuals,,2002.7,0,0
individuals_ID0000069,compute,0,1658761759.0,,,1658761764.0,1658764425.0,1658766504.0,1658766504.0,1658766509.0,5.0,,2661.0,2079.0,5.0,78.0,2539402330.0,5.0,1596155.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_14627/pegasus.PDjXoy3U0/individuals,,1980.4,0,0
individuals_ID0000101,compute,0,1658761759.0,,,1658761764.0,1658764425.0,1658766529.0,1658766529.0,1658766534.0,5.0,,2661.0,2104.0,5.0,77.0,2539402330.0,5.0,1583442.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_19275/pegasus.rXsIhcsfI/individuals,,2004.2,0,0
individuals_ID0000068,compute,0,1658761759.0,,,1658761764.0,1658764425.0,1658766524.0,1658766524.0,1658766529.0,5.0,,2661.0,2099.0,5.0,59.0,2539402330.0,5.0,931885.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_12717/pegasus.4FvnjqXhr/individuals,,2019.8,0,0
individuals_ID0000041,compute,0,1658761759.0,,,1658761764.0,1658761785.0,1658764436.0,1658764436.0,1658764441.0,5.0,,21.0,2651.0,5.0,270.0,2539481399.0,4.0,1374672.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_10611/pegasus.TK8Hxq2Ey/individuals,,2277.9,0,0
individuals_ID0000100,compute,0,1658761759.0,,,1658761764.0,1658764426.0,1658766519.0,1658766519.0,1658766524.0,5.0,,2662.0,2093.0,5.0,68.0,2539402330.0,5.0,1855584.0,poseidon,condorpool,worker2-container-32-35,individuals,/var/lib/condor/execute/dir_17604/pegasus.gP7fv3a2U/individuals,,2003.1,0,0
individuals_ID0000066,compute,0,1658761759.0,,,1658761764.0,1658764425.0,1658766464.0,1658766464.0,1658766469.0,5.0,,2661.0,2039.0,5.0,29.0,2539402330.0,4.0,894978.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_21706/pegasus.pX373d94B/individuals,,1990.5,0,0
