,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_casa-nowcast-full_0_condorpool,None,auxiliary,0,1706038578.0,,,1706038579.0,,,0.0,1706038583.0,1706038589.0,,,0.0,1706038589.0,1706038594.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L casa-nowcast-full -T 2023-12-19T22:54:40+00:00 pegasus-transfer,0.2,0,0,,,,,,,,,
NowcastToWDSS2_ID0001261,None,compute,0,1706038594.0,,,1706038599.0,1706038668.0,1706038686.0,14139124.5,1706038648.0,1706038719.0,1706038708.0,1706038712.0,1192246.0,1706038719.0,1706038724.0,5.0,,49.0,71.0,5.0,18.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-0-3,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0001387,None,compute,0,1706038594.0,,,1706038599.0,1706038712.0,1706038723.0,29927540.5,1706038660.0,1706038829.0,1706038743.0,1706038782.0,128316.0,1706038829.0,1706038834.0,5.0,,61.0,169.0,5.0,11.0,170460244.0,39.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-32-35,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.0,0,0,,,,,,,,,
NowcastToWDSS2_ID0000694,hdd_10,compute,0,1706038594.0,,,1706038599.0,1706038621.0,1706038714.0,4396981.5,1706038619.0,1706038829.0,1706038743.0,1706038782.0,128341.0,1706038829.0,1706038834.0,5.0,,20.0,210.0,5.0,93.0,170460244.0,39.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-12-15,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000631,None,compute,0,1706038594.0,,,1706038599.0,1706038621.0,1706038661.0,30863691.5,1706038619.0,1706038829.0,1706038743.0,1706038782.0,128466.0,1706038829.0,1706038834.0,5.0,,20.0,210.0,5.0,40.0,170460244.0,39.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-36-39,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0001324,None,compute,0,1706038594.0,,,1706038599.0,1706038668.0,1706038686.0,14068668.8,1706038621.0,1706038719.0,1706038708.0,1706038712.0,1362967.0,1706038719.0,1706038724.0,5.0,,22.0,98.0,5.0,18.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-44-47,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000253,None,compute,0,1706038594.0,,,1706038599.0,1706038621.0,1706038714.0,4361718.9,1706038620.0,1706038829.0,1706038743.0,1706038782.0,128320.0,1706038829.0,1706038834.0,5.0,,21.0,209.0,5.0,93.0,170460244.0,39.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-4-7,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000757,hdd_10,compute,0,1706038594.0,,,1706038599.0,1706038659.0,1706038725.0,3175160.0,1706038621.0,1706038829.0,1706038743.0,1706038782.0,128314.0,1706038829.0,1706038834.0,5.0,,22.0,208.0,5.0,66.0,170460244.0,39.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-8-11,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0001765,hdd_10,compute,0,1706038594.0,,,1706038599.0,1706038648.0,1706038680.0,7760708.8,1706038619.0,1706038719.0,1706038708.0,1706038712.0,1173732.0,1706038719.0,1706038724.0,5.0,,20.0,100.0,5.0,32.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-4-7,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000379,hdd_10,compute,0,1706038594.0,,,1706038599.0,1706038621.0,1706038714.0,4373774.9,1706038620.0,1706038829.0,1706038743.0,1706038782.0,128283.0,1706038829.0,1706038834.0,5.0,,21.0,209.0,5.0,93.0,170460244.0,39.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-16-19,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000316,None,compute,0,1706038594.0,,,1706038599.0,1706038659.0,1706038720.0,3077705.9,1706038621.0,1706038829.0,1706038743.0,1706038782.0,128330.0,1706038829.0,1706038834.0,5.0,,22.0,208.0,5.0,61.0,170460244.0,39.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-20-23,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.0,0,0,,,,,,,,,
NowcastToWDSS2_ID0001009,hdd_10,compute,0,1706038594.0,,,1706038599.0,1706038623.0,1706038714.0,4475816.6,1706038622.0,1706038829.0,1706038743.0,1706038782.0,128323.0,1706038829.0,1706038834.0,5.0,,23.0,207.0,5.0,91.0,170460244.0,39.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-28-31,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0001702,None,compute,0,1706038594.0,,,1706038599.0,1706038623.0,1706038714.0,4487655.4,1706038621.0,1706038829.0,1706038743.0,1706038782.0,128360.0,1706038829.0,1706038834.0,5.0,,22.0,208.0,5.0,91.0,170460244.0,39.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-24-27,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0001828,hdd_10,compute,0,1706038594.0,,,1706038599.0,1706038621.0,1706038661.0,30703576.0,1706038619.0,1706038829.0,1706038743.0,1706038778.0,141568.0,1706038829.0,1706038834.0,5.0,,20.0,210.0,5.0,40.0,170460244.0,35.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-40-43,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0001072,None,compute,0,1706038594.0,,,1706038599.0,1706038668.0,1706038686.0,13593061.8,1706038620.0,1706038719.0,1706038708.0,1706038712.0,1198934.0,1706038719.0,1706038724.0,5.0,,21.0,99.0,5.0,18.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-20-23,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000190,hdd_10,compute,0,1706038594.0,,,1706038599.0,1706038648.0,1706038680.0,7761410.7,1706038619.0,1706038719.0,1706038708.0,1706038712.0,1171466.0,1706038719.0,1706038724.0,5.0,,20.0,100.0,5.0,32.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-8-11,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000001,hdd_10,compute,0,1706038594.0,,,1706038599.0,1706038668.0,1706038686.0,13823690.3,1706038620.0,1706038719.0,1706038708.0,1706038712.0,1188781.0,1706038719.0,1706038724.0,5.0,,21.0,99.0,5.0,18.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-36-39,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000568,None,compute,0,1706038594.0,,,1706038599.0,1706038648.0,1706038680.0,8030337.7,1706038619.0,1706038719.0,1706038708.0,1706038712.0,1195188.0,1706038719.0,1706038724.0,5.0,,20.0,100.0,5.0,32.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-44-47,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0001513,None,compute,0,1706038594.0,,,1706038599.0,1706038621.0,1706038661.0,30917476.0,1706038619.0,1706038829.0,1706038743.0,1706038782.0,128444.0,1706038829.0,1706038834.0,5.0,,20.0,210.0,5.0,40.0,170460244.0,39.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-36-39,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000820,None,compute,0,1706038594.0,,,1706038599.0,1706038648.0,1706038680.0,8003334.8,1706038619.0,1706038719.0,1706038708.0,1706038712.0,1196375.0,1706038719.0,1706038724.0,5.0,,20.0,100.0,5.0,32.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-0-3,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000127,hdd_10,compute,0,1706038594.0,,,1706038599.0,1706038622.0,1706038714.0,4296333.3,1706038620.0,1706038829.0,1706038743.0,1706038782.0,128398.0,1706038829.0,1706038834.0,5.0,,21.0,209.0,5.0,92.0,170460244.0,39.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-12-15,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000442,None,compute,0,1706038594.0,,,1706038599.0,1706038622.0,1706038714.0,4468237.8,1706038620.0,1706038991.0,1706038743.0,1706038984.0,41531.0,1706038991.0,1706038996.0,5.0,,21.0,371.0,5.0,92.0,170460244.0,241.0,10047472.0,poseidon,condorpool,poseidon-worker-2-container-32-35,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0001639,hdd_10,compute,0,1706038594.0,,,1706038599.0,1706038621.0,1706038661.0,31043385.5,1706038619.0,1706038829.0,1706038743.0,1706038782.0,128327.0,1706038829.0,1706038834.0,5.0,,20.0,210.0,5.0,40.0,170460244.0,39.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-0-3,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000946,hdd_10,compute,0,1706038594.0,,,1706038599.0,1706038648.0,1706038680.0,7783488.9,1706038619.0,1706038906.0,1706038708.0,1706038861.0,65406.0,1706038906.0,1706038911.0,5.0,,20.0,287.0,5.0,32.0,170460244.0,153.0,10047472.0,poseidon,condorpool,poseidon-worker-1-container-8-11,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0001198,None,compute,0,1706038594.0,,,1706038599.0,1706038648.0,1706038680.0,7977118.0,1706038619.0,1706038719.0,1706038708.0,1706038712.0,1161644.0,1706038719.0,1706038724.0,5.0,,20.0,100.0,5.0,32.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-24-27,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
