,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000-genome_0_condorpool,normal,auxiliary,0,1662717843.0,,,1662717844.0,1662717848.0,1662717854.0,1662717854.0,1662717859.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,host-10-100-100-233.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-08-03T06:30:23+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0
individuals_ID0000047,normal,compute,0,1662717859.0,,,1662717865.0,1662717869.0,1662722705.0,1662722705.0,1662722710.0,6.0,,4.0,4836.0,5.0,17.0,1014283276.0,5.0,389184.0,poseidon,condorpool,worker1-container-28-31,individuals,/var/lib/condor/execute/dir_24089/pegasus.gbjQCABUL/individuals,,768.9,0,0
individuals_ID0000046,hdd_10,compute,0,1662717859.0,,,1662717865.0,1662717869.0,1662721176.0,1662721176.0,1662721181.0,6.0,,4.0,3307.0,5.0,14.0,1014283276.0,5.0,357899.0,poseidon,condorpool,worker1-container-20-23,individuals,/var/lib/condor/execute/dir_28996/pegasus.WxfKqSZqp/individuals,,774.4,0,0
individuals_ID0000045,normal,compute,0,1662717859.0,,,1662717865.0,1662717867.0,1662722470.0,1662722470.0,1662722475.0,6.0,,2.0,4603.0,5.0,213.0,1014283276.0,4.0,338399.0,poseidon,condorpool,worker1-container-4-7,individuals,/var/lib/condor/execute/dir_26193/pegasus.h26Dfqcky/individuals,,775.4,0,0
individuals_ID0000044,hdd_10,compute,0,1662717859.0,,,1662717865.0,1662717867.0,1662722349.0,1662722349.0,1662722354.0,6.0,,2.0,4482.0,5.0,228.0,1014283276.0,5.0,466668.0,poseidon,condorpool,worker2-container-32-35,individuals,/var/lib/condor/execute/dir_28886/pegasus.8rqPHQB3A/individuals,,770.2,0,0
individuals_ID0000049,hdd_10,compute,0,1662717859.0,,,1662717865.0,1662717869.0,1662720961.0,1662720961.0,1662720966.0,6.0,,4.0,3092.0,5.0,120.0,1014283276.0,5.0,410066.0,poseidon,condorpool,worker1-container-24-27,individuals,/var/lib/condor/execute/dir_24180/pegasus.uGa8Z8aBT/individuals,,763.1,0,0
individuals_ID0000048,hdd_10,compute,0,1662717859.0,,,1662717865.0,1662717867.0,1662721622.0,1662721622.0,1662721627.0,6.0,,2.0,3755.0,5.0,166.0,1014283276.0,4.0,489872.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_25983/pegasus.sSPNDGc1d/individuals,,770.6,0,0
individuals_ID0000032,normal,compute,0,1662717859.0,,,1662717865.0,1662717867.0,1662722791.0,1662722791.0,1662722796.0,6.0,,2.0,4924.0,5.0,139.0,1014283276.0,4.0,326619.0,poseidon,condorpool,worker2-container-16-19,individuals,/var/lib/condor/execute/dir_27995/pegasus.b9gNrBdkY/individuals,,776.8,0,0
individuals_ID0000031,hdd_10,compute,0,1662717859.0,,,1662717865.0,1662717869.0,1662722725.0,1662722725.0,1662722730.0,6.0,,4.0,4856.0,5.0,50.0,1014283276.0,4.0,261202.0,poseidon,condorpool,worker1-container-8-11,individuals,/var/lib/condor/execute/dir_26358/pegasus.vQj4Ax6ks/individuals,,785.2,0,0
individuals_ID0000030,normal,compute,0,1662717859.0,,,1662717865.0,1662717867.0,1662722349.0,1662722349.0,1662722354.0,6.0,,2.0,4482.0,5.0,45.0,1014283276.0,4.0,222697.0,poseidon,condorpool,worker2-container-36-39,individuals,/var/lib/condor/execute/dir_30211/pegasus.oml7KQEph/individuals,,800.0,0,0
