,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000-genome_0_condorpool,normal,auxiliary,0,1663299027.0,,,1663299028.0,1663299032.0,1663299038.0,1663299038.0,1663299043.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,host-10-100-100-233.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-08-03T06:30:23+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0
individuals_ID0000047,hdd_10,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300256.0,1663300256.0,1663300261.0,5.0,,21.0,1187.0,5.0,152.0,1014283276.0,4.0,387922.0,poseidon,condorpool,worker1-container-8-11,individuals,/var/lib/condor/execute/dir_14094/pegasus.7BbIC8H4f/individuals,,918.0,0,0
individuals_ID0000046,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300206.0,1663300206.0,1663300211.0,5.0,,21.0,1137.0,5.0,96.0,1014283276.0,4.0,357015.0,poseidon,condorpool,worker1-container-28-31,individuals,/var/lib/condor/execute/dir_11621/pegasus.Deni9C89q/individuals,,921.2,0,0
individuals_ID0000045,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300075.0,1663300075.0,1663300080.0,5.0,,21.0,1006.0,5.0,35.0,1014283276.0,5.0,337393.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_26247/pegasus.Vdta5qGtz/individuals,,948.7,0,0
individuals_ID0000044,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300075.0,1663300075.0,1663300080.0,5.0,,21.0,1006.0,5.0,36.0,1014283276.0,5.0,465501.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_22777/pegasus.faFxTccqF/individuals,,943.5,0,0
individuals_ID0000049,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300075.0,1663300075.0,1663300080.0,5.0,,21.0,1006.0,5.0,39.0,1014283276.0,5.0,409306.0,poseidon,condorpool,worker2-container-24-27,individuals,/var/lib/condor/execute/dir_20450/pegasus.uuvxVeQar/individuals,,942.2,0,0
individuals_ID0000048,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300091.0,1663300091.0,1663300096.0,5.0,,21.0,1022.0,5.0,36.0,1014283276.0,5.0,488965.0,poseidon,condorpool,worker2-container-32-35,individuals,/var/lib/condor/execute/dir_24317/pegasus.xqGIoNpfs/individuals,,959.9,0,0
individuals_ID0000032,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300060.0,1663300060.0,1663300065.0,5.0,,21.0,991.0,5.0,26.0,1014283276.0,4.0,325563.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_14262/pegasus.GtPZ1k7CP/individuals,,941.1,0,0
individuals_ID0000031,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300106.0,1663300106.0,1663300111.0,5.0,,21.0,1037.0,5.0,33.0,1014283276.0,4.0,259954.0,poseidon,condorpool,worker2-container-16-19,individuals,/var/lib/condor/execute/dir_15766/pegasus.Jo49ic2w1/individuals,,980.6,0,0
individuals_ID0000030,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300226.0,1663300226.0,1663300231.0,5.0,,21.0,1157.0,5.0,79.0,1014283276.0,4.0,221470.0,poseidon,condorpool,worker1-container-0-3,individuals,/var/lib/condor/execute/dir_16720/pegasus.YXze0qzxG/individuals,,960.5,0,0
individuals_ID0000036,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300216.0,1663300216.0,1663300221.0,5.0,,21.0,1147.0,5.0,42.0,1014283276.0,4.0,215930.0,poseidon,condorpool,worker1-container-12-15,individuals,/var/lib/condor/execute/dir_15255/pegasus.7wMqP2gxm/individuals,,956.3,0,0
sifting_ID0000104,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663299159.0,1663299159.0,1663299164.0,5.0,,21.0,90.0,5.0,58.0,1708159164.0,5.0,1055195.0,poseidon,condorpool,worker2-container-28-31,sifting,/var/lib/condor/execute/dir_19374/pegasus.MPauHLLSu/sifting,,4.9,0,0
individuals_ID0000035,hdd_10,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300266.0,1663300266.0,1663300271.0,5.0,,21.0,1197.0,5.0,118.0,1014283276.0,4.0,409703.0,poseidon,condorpool,worker1-container-32-35,individuals,/var/lib/condor/execute/dir_11509/pegasus.TuXBSgmFD/individuals,,914.4,0,0
individuals_ID0000033,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300065.0,1663300065.0,1663300070.0,5.0,,21.0,996.0,5.0,36.0,1014283276.0,4.0,416497.0,poseidon,condorpool,worker2-container-20-23,individuals,/var/lib/condor/execute/dir_22610/pegasus.SCzUiOeg0/individuals,,933.4,0,0
individuals_ID0000039,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300221.0,1663300221.0,1663300226.0,5.0,,21.0,1152.0,5.0,36.0,1014283276.0,4.0,278689.0,poseidon,condorpool,worker1-container-16-19,individuals,/var/lib/condor/execute/dir_17212/pegasus.VBVyGgapc/individuals,,953.5,0,0
individuals_ID0000038,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300181.0,1663300181.0,1663300186.0,5.0,,21.0,1112.0,5.0,74.0,1014283276.0,4.0,303319.0,poseidon,condorpool,worker1-container-4-7,individuals,/var/lib/condor/execute/dir_19982/pegasus.iDVWMwh5b/individuals,,923.2,0,0
individuals_ID0000037,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300186.0,1663300186.0,1663300191.0,5.0,,21.0,1117.0,5.0,42.0,1014283276.0,5.0,275988.0,poseidon,condorpool,worker1-container-28-31,individuals,/var/lib/condor/execute/dir_11618/pegasus.fwWYrkqAB/individuals,,925.8,0,0
individuals_ID0000021,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300055.0,1663300055.0,1663300060.0,5.0,,21.0,986.0,5.0,43.0,1014283276.0,4.0,608854.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_14261/pegasus.PEGHvTkcW/individuals,,921.3,0,0
individuals_ID0000020,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300055.0,1663300055.0,1663300060.0,5.0,,21.0,986.0,5.0,28.0,1014283276.0,5.0,338081.0,poseidon,condorpool,worker2-container-16-19,individuals,/var/lib/condor/execute/dir_15764/pegasus.uK1Gdcs6j/individuals,,932.9,0,0
individuals_ID0000025,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300075.0,1663300075.0,1663300080.0,5.0,,21.0,1006.0,5.0,38.0,1014283276.0,5.0,505446.0,poseidon,condorpool,worker2-container-24-27,individuals,/var/lib/condor/execute/dir_20448/pegasus.MdtPRAZg3/individuals,,942.4,0,0
individuals_ID0000024,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300060.0,1663300060.0,1663300065.0,5.0,,21.0,991.0,5.0,25.0,1014283276.0,4.0,341026.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_26245/pegasus.sFm65SO1i/individuals,,947.4,0,0
individuals_ID0000023,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300221.0,1663300221.0,1663300226.0,5.0,,21.0,1152.0,5.0,79.0,1014283276.0,5.0,225148.0,poseidon,condorpool,worker1-container-36-39,individuals,/var/lib/condor/execute/dir_11383/pegasus.lyARd5u5x/individuals,,953.2,0,0
individuals_ID0000022,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300206.0,1663300206.0,1663300211.0,5.0,,21.0,1137.0,5.0,80.0,1014283276.0,4.0,236185.0,poseidon,condorpool,worker1-container-24-27,individuals,/var/lib/condor/execute/dir_11466/pegasus.I1ksCSiCD/individuals,,939.3,0,0
individuals_ID0000034,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300101.0,1663300101.0,1663300106.0,5.0,,21.0,1032.0,5.0,35.0,1014283276.0,4.0,286366.0,poseidon,condorpool,worker2-container-36-39,individuals,/var/lib/condor/execute/dir_26663/pegasus.vqZQQ3p35/individuals,,968.9,0,0
individuals_ID0000029,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300070.0,1663300070.0,1663300075.0,5.0,,21.0,1001.0,5.0,34.0,1014283276.0,5.0,228434.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_18617/pegasus.RnInNGrVe/individuals,,947.5,0,0
individuals_ID0000040,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300216.0,1663300216.0,1663300221.0,5.0,,21.0,1147.0,5.0,80.0,1014283276.0,4.0,236950.0,poseidon,condorpool,worker1-container-24-27,individuals,/var/lib/condor/execute/dir_11468/pegasus.3ExqxtNxv/individuals,,951.4,0,0
individuals_ID0000042,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300206.0,1663300206.0,1663300211.0,5.0,,21.0,1137.0,5.0,78.0,1014283276.0,5.0,308935.0,poseidon,condorpool,worker1-container-36-39,individuals,/var/lib/condor/execute/dir_11384/pegasus.DneuJ6qBk/individuals,,941.4,0,0
individuals_ID0000061,normal,compute,0,1663299043.0,,,1663299053.0,1663300069.0,1663300891.0,1663300891.0,1663300896.0,10.0,,1016.0,822.0,5.0,19.0,1014254291.0,5.0,388413.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_24113/pegasus.DqU1Z8WwR/individuals,,780.0,0,0
individuals_ID0000060,normal,compute,0,1663299043.0,,,1663299053.0,1663300068.0,1663300881.0,1663300881.0,1663300886.0,10.0,,1015.0,813.0,5.0,17.0,1014254291.0,5.0,368977.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_24109/pegasus.inRlLRCE2/individuals,,773.6,0,0
individuals_ID0000065,normal,compute,0,1663299043.0,,,1663299048.0,1663300068.0,1663300886.0,1663300886.0,1663300891.0,5.0,,1020.0,818.0,5.0,14.0,1014254291.0,4.0,496026.0,poseidon,condorpool,worker2-container-24-27,individuals,/var/lib/condor/execute/dir_21741/pegasus.wCACD13KO/individuals,,782.4,0,0
individuals_ID0000064,normal,compute,0,1663299043.0,,,1663299048.0,1663300062.0,1663300886.0,1663300886.0,1663300891.0,5.0,,1014.0,824.0,5.0,22.0,1014254291.0,5.0,473144.0,poseidon,condorpool,worker2-container-36-39,individuals,/var/lib/condor/execute/dir_28307/pegasus.wNM5akJxK/individuals,,782.0,0,0
individuals_ID0000063,normal,compute,0,1663299043.0,,,1663299048.0,1663300061.0,1663300896.0,1663300896.0,1663300901.0,5.0,,1013.0,835.0,5.0,21.0,1014254291.0,4.0,633528.0,poseidon,condorpool,worker2-container-36-39,individuals,/var/lib/condor/execute/dir_28146/pegasus.yPQ8NUQG6/individuals,,791.8,0,0
individuals_ID0000062,normal,compute,0,1663299043.0,,,1663299048.0,1663300061.0,1663300881.0,1663300881.0,1663300886.0,5.0,,1013.0,820.0,5.0,14.0,1014254291.0,4.0,665475.0,poseidon,condorpool,worker2-container-20-23,individuals,/var/lib/condor/execute/dir_24062/pegasus.Iib2lAPxT/individuals,,784.5,0,0
individuals_ID0000102,normal,compute,0,1663299043.0,,,1663299048.0,1663300061.0,1663300876.0,1663300876.0,1663300881.0,5.0,,1013.0,815.0,5.0,17.0,1014254291.0,5.0,394804.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_27924/pegasus.hlapVqsbV/individuals,,777.0,0,0
individuals_ID0000069,normal,compute,0,1663299043.0,,,1663299048.0,1663300060.0,1663300886.0,1663300886.0,1663300891.0,5.0,,1012.0,826.0,5.0,16.0,1014254291.0,5.0,470228.0,poseidon,condorpool,worker2-container-32-35,individuals,/var/lib/condor/execute/dir_25768/pegasus.7POFXqpCs/individuals,,785.7,0,0
individuals_ID0000101,normal,compute,0,1663299043.0,,,1663299048.0,1663300059.0,1663300876.0,1663300876.0,1663300881.0,5.0,,1011.0,817.0,5.0,18.0,1014254291.0,4.0,426484.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_20036/pegasus.8DYulYUT6/individuals,,778.5,0,0
individuals_ID0000068,normal,compute,0,1663299043.0,,,1663299048.0,1663300057.0,1663300876.0,1663300876.0,1663300881.0,5.0,,1009.0,819.0,5.0,16.0,1014254291.0,5.0,497986.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_19875/pegasus.4tBSOcNaE/individuals,,781.6,0,0
individuals_ID0000041,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300080.0,1663300080.0,1663300085.0,5.0,,21.0,1011.0,5.0,34.0,1014283276.0,4.0,315181.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_18619/pegasus.yBk4nc1Td/individuals,,954.3,0,0
individuals_ID0000100,normal,compute,0,1663299043.0,,,1663299048.0,1663300057.0,1663300881.0,1663300881.0,1663300886.0,5.0,,1009.0,824.0,5.0,20.0,1014254291.0,5.0,401438.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_15681/pegasus.4gVZEhRgM/individuals,,785.9,0,0
individuals_ID0000066,normal,compute,0,1663299043.0,,,1663299048.0,1663300053.0,1663300871.0,1663300871.0,1663300876.0,5.0,,1005.0,818.0,5.0,15.0,1014254291.0,5.0,989451.0,poseidon,condorpool,worker2-container-32-35,individuals,/var/lib/condor/execute/dir_25571/pegasus.FiK49KH0y/individuals,,782.5,0,0
individuals_ID0000050,normal,compute,0,1663299043.0,,,1663299048.0,1663300052.0,1663300871.0,1663300871.0,1663300876.0,5.0,,1004.0,819.0,5.0,16.0,1014283276.0,4.0,449607.0,poseidon,condorpool,worker2-container-36-39,individuals,/var/lib/condor/execute/dir_27940/pegasus.KPaxMoos9/individuals,,783.6,0,0
individuals_ID0000054,normal,compute,0,1663299043.0,,,1663299048.0,1663300051.0,1663300886.0,1663300886.0,1663300891.0,5.0,,1003.0,835.0,5.0,20.0,1014254291.0,4.0,272526.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_21029/pegasus.wG6WnvU9D/individuals,,796.4,0,0
individuals_ID0000053,normal,compute,0,1663299043.0,,,1663299048.0,1663300051.0,1663300771.0,1663300771.0,1663300776.0,5.0,,1003.0,720.0,5.0,14.0,1014254291.0,4.0,216599.0,poseidon,condorpool,worker2-container-16-19,individuals,/var/lib/condor/execute/dir_16988/pegasus.u5hfiNSSP/individuals,,685.9,0,0
individuals_ID0000058,normal,compute,0,1663299043.0,,,1663299048.0,1663300050.0,1663300876.0,1663300876.0,1663300881.0,5.0,,1002.0,826.0,5.0,19.0,1014254291.0,4.0,312274.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_27692/pegasus.fFXye2QfQ/individuals,,787.3,0,0
individuals_ID0000057,normal,compute,0,1663299043.0,,,1663299048.0,1663300050.0,1663300896.0,1663300896.0,1663300901.0,5.0,,1002.0,846.0,5.0,19.0,1014254291.0,4.0,273088.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_20868/pegasus.9VxVlIC4V/individuals,,806.0,0,0
individuals_ID0000056,normal,compute,0,1663299043.0,,,1663299048.0,1663300047.0,1663300876.0,1663300876.0,1663300881.0,5.0,,999.0,829.0,5.0,13.0,1014254291.0,4.0,283822.0,poseidon,condorpool,worker2-container-20-23,individuals,/var/lib/condor/execute/dir_23832/pegasus.bnx7gSLfh/individuals,,794.9,0,0
individuals_ID0000055,normal,compute,0,1663299043.0,,,1663299048.0,1663300046.0,1663300871.0,1663300871.0,1663300876.0,5.0,,998.0,825.0,5.0,18.0,1014254291.0,4.0,404739.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_27501/pegasus.42Kl6O5mq/individuals,,783.6,0,0
individuals_ID0000059,normal,compute,0,1663299043.0,,,1663299048.0,1663299524.0,1663300501.0,1663300501.0,1663300506.0,5.0,,476.0,977.0,5.0,13.0,1014254291.0,5.0,342375.0,poseidon,condorpool,worker1-container-20-23,individuals,/var/lib/condor/execute/dir_12322/pegasus.eas1KwLwz/individuals,,862.5,0,0
individuals_ID0000043,normal,compute,0,1663299043.0,,,1663299048.0,1663299155.0,1663300136.0,1663300136.0,1663300141.0,5.0,,107.0,981.0,5.0,14.0,1014283276.0,4.0,385959.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_20235/pegasus.BBpUV2rO6/individuals,,946.6,0,0
individuals_ID0000067,normal,compute,0,1663299043.0,,,1663299048.0,1663300055.0,1663300881.0,1663300881.0,1663300886.0,5.0,,1007.0,826.0,5.0,19.0,1014254291.0,5.0,486916.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_15519/pegasus.uccbRGXuZ/individuals,,785.4,0,0
individuals_ID0000028,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300291.0,1663300291.0,1663300296.0,5.0,,21.0,1222.0,5.0,79.0,1014283276.0,4.0,466616.0,poseidon,condorpool,worker1-container-20-23,individuals,/var/lib/condor/execute/dir_11358/pegasus.9uBta45s5/individuals,,938.1,0,0
sifting_ID0000052,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663299524.0,1663299524.0,1663299529.0,5.0,,21.0,455.0,5.0,93.0,1580481751.0,5.0,1636846.0,poseidon,condorpool,worker1-container-20-23,sifting,/var/lib/condor/execute/dir_11360/pegasus.gqgKFpbQp/sifting,,4.3,0,0
individuals_ID0000026,normal,compute,0,1663299043.0,,,1663299048.0,1663299069.0,1663300070.0,1663300070.0,1663300075.0,5.0,,21.0,1001.0,5.0,36.0,1014283276.0,4.0,385953.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_22774/pegasus.yhTLxFeQR/individuals,,942.1,0,0
