,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000-genome_0_condorpool,normal,auxiliary,0,1662430245.0,,,1662430247.0,1662430251.0,1662430257.0,1662430257.0,1662430262.0,2.0,,4.0,6.0,5.0,,,,,poseidon,local,host-10-100-100-233.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-08-03T06:30:23+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0
individuals_ID0000047,hdd_5,compute,0,1662430262.0,,,1662430267.0,1662430289.0,1662433319.0,1662433319.0,1662433324.0,5.0,,22.0,3030.0,5.0,565.0,1014283276.0,4.0,388112.0,poseidon,condorpool,worker1-container-28-31,individuals,/var/lib/condor/execute/dir_12753/pegasus.GVYDS4AuI/individuals,,930.2,0,0
individuals_ID0000046,hdd_5,compute,0,1662430262.0,,,1662430267.0,1662430289.0,1662433414.0,1662433414.0,1662433419.0,5.0,,22.0,3125.0,5.0,1277.0,1114005290.0,5.0,357196.0,poseidon,condorpool,worker2-container-24-27,individuals,/var/lib/condor/execute/dir_10472/pegasus.mwsk3Lv21/individuals,,891.3,0,0
individuals_ID0000045,hdd_5,compute,0,1662430262.0,,,1662430267.0,1662430287.0,1662433404.0,1662433404.0,1662433409.0,5.0,,20.0,3117.0,5.0,812.0,1665463058.0,5.0,337412.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_13718/pegasus.N7f8arTi4/individuals,,895.3,0,0
individuals_ID0000044,normal,compute,0,1662430262.0,,,1662430267.0,1662430289.0,1662433404.0,1662433404.0,1662433409.0,5.0,,22.0,3115.0,5.0,504.0,1101381626.0,5.0,465487.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_11935/pegasus.tIsTPIQig/individuals,,876.9,0,0
individuals_ID0000049,hdd_5,compute,0,1662430262.0,,,1662430267.0,1662430289.0,1662433314.0,1662433314.0,1662433319.0,5.0,,22.0,3025.0,5.0,567.0,1014283276.0,4.0,409502.0,poseidon,condorpool,worker1-container-12-15,individuals,/var/lib/condor/execute/dir_8578/pegasus.L2yipfCKw/individuals,,923.2,0,0
individuals_ID0000048,hdd_5,compute,0,1662430262.0,,,1662430267.0,1662430287.0,1662433414.0,1662433414.0,1662433419.0,5.0,,20.0,3127.0,5.0,1580.0,1668810834.0,5.0,488956.0,poseidon,condorpool,worker2-container-32-35,individuals,/var/lib/condor/execute/dir_14367/pegasus.A3DIEJYlM/individuals,,894.4,0,0
individuals_ID0000032,hdd_5,compute,0,1662430262.0,,,1662430267.0,1662430287.0,1662433238.0,1662433238.0,1662433243.0,5.0,,20.0,2951.0,5.0,405.0,1014283276.0,5.0,325735.0,poseidon,condorpool,worker1-container-16-19,individuals,/var/lib/condor/execute/dir_11105/pegasus.oY4TO3BgS/individuals,,941.2,0,0
individuals_ID0000031,normal,compute,0,1662430262.0,,,1662430267.0,1662430287.0,1662433309.0,1662433309.0,1662433314.0,5.0,,20.0,3022.0,5.0,746.0,1065547970.0,5.0,260177.0,poseidon,condorpool,worker1-container-0-3,individuals,/var/lib/condor/execute/dir_13465/pegasus.8ni2b0DBM/individuals,,942.7,0,0
individuals_ID0000030,hdd_5,compute,0,1662430262.0,,,1662430267.0,1662430287.0,1662433324.0,1662433324.0,1662433329.0,5.0,,20.0,3037.0,5.0,838.0,1726800338.0,4.0,221780.0,poseidon,condorpool,worker1-container-20-23,individuals,/var/lib/condor/execute/dir_11579/pegasus.fwtSRq1AY/individuals,,946.1,0,0
