,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_casa-nowcast-small_0_condorpool,None,auxiliary,0,1706709060.0,,,1706709061.0,,,0.0,1706709065.0,1706709071.0,,,0.0,1706709071.0,1706709076.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L casa-nowcast-small -T 2024-01-31T00:08:22+00:00 pegasus-transfer,0.2,0,0,,,,,,,,,
NowcastToWDSS2_ID0000253,None,compute,0,1706709076.0,,,1706709081.0,1706709103.0,1706709113.0,30019115.5,1706709101.0,1706709131.0,1706709119.0,1706709123.0,1276409.0,1706709131.0,1706709136.0,5.0,,20.0,30.0,5.0,10.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-44-47,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000064,None,compute,0,1706709076.0,,,1706709081.0,1706709104.0,1706709115.0,32424467.8,1706709102.0,1706709131.0,1706709120.0,1706709124.0,1280883.0,1706709131.0,1706709136.0,5.0,,21.0,29.0,5.0,11.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-0-3,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.0,0,0,,,,,,,,,
NowcastToWDSS2_ID0000001,None,compute,0,1706709076.0,,,1706709081.0,1706709103.0,1706709113.0,30024512.0,1706709101.0,1706709131.0,1706709119.0,1706709123.0,1284188.0,1706709131.0,1706709136.0,5.0,,20.0,30.0,5.0,10.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-16-19,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000316,None,compute,0,1706709076.0,,,1706709081.0,1706709103.0,1706709113.0,30787996.5,1706709101.0,1706709131.0,1706709119.0,1706709123.0,1259945.0,1706709131.0,1706709136.0,5.0,,20.0,30.0,5.0,10.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-1-container-32-35,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.1,0,0,,,,,,,,,
NowcastToWDSS2_ID0000190,None,compute,0,1706709076.0,,,1706709081.0,1706709104.0,1706709115.0,30322598.6,1706709102.0,1706709131.0,1706709120.0,1706709124.0,1278075.0,1706709131.0,1706709136.0,5.0,,21.0,29.0,5.0,11.0,170460244.0,4.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-44-47,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.0,0,0,,,,,,,,,
NowcastToWDSS2_ID0000127,None,compute,0,1706709076.0,,,1706709081.0,1706709103.0,1706709114.0,27230931.8,1706709101.0,1706709131.0,1706709120.0,1706709123.0,1284335.0,1706709131.0,1706709136.0,5.0,,20.0,30.0,5.0,11.0,170460244.0,3.0,5023736.0,poseidon,condorpool,poseidon-worker-2-container-40-43,NowcastToWDSS2,/opt/NowcastToWDSS2/NowcastToWDSS2,,0.0,0,0,,,,,,,,,
mrtV2_ID0000206,None,compute,0,1706709136.0,,,1706709152.0,1706709944.0,1706710066.0,26657241.8,1706709882.0,1706710174.0,1706710136.0,1706710140.0,2832.0,1706710174.0,1706710179.0,16.0,,730.0,292.0,5.0,122.0,160605089.0,4.0,10254.0,poseidon,condorpool,poseidon-worker-1-container-32-35,mrtV2,/opt/mrtV2/mrtV2,,0.1,0,0,,,,,,,,,
merged_netcdf2png_ID0000243,None,compute,0,1706709136.0,,,1706709152.0,1706709918.0,1706710084.0,1911967.5,1706709907.0,1706710249.0,1706710173.0,1706710177.0,5791.0,1706710249.0,1706710255.0,16.0,,755.0,342.0,6.0,166.0,160656166.0,4.0,21751.0,poseidon,condorpool,poseidon-worker-2-container-0-3,merged_netcdf2png,/opt/netcdf2png/merged_netcdf2png,,0.1,0,0,,,,,,,,,
mrtV2_ID0000205,None,compute,0,1706709136.0,,,1706709152.0,1706709918.0,1706710084.0,1911498.9,1706709915.0,1706710249.0,1706710173.0,1706710177.0,2718.0,1706710249.0,1706710255.0,16.0,,763.0,334.0,6.0,166.0,160605089.0,4.0,10237.0,poseidon,condorpool,poseidon-worker-2-container-36-39,mrtV2,/opt/mrtV2/mrtV2,,0.1,0,0,,,,,,,,,
