,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_variant-calling_0_condorpool,None,auxiliary,0,1700556497.0,,,1700556498.0,,,0.0,1700556502.0,1700556508.0,,,0.0,1700556508.0,1700556513.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L variant-calling -T 2023-11-15T22:51:21+00:00 pegasus-transfer,0.2,0,0,,,,,,,,,
bwa_ID0000309,None,compute,0,1700556513.0,,,1700556519.0,1700556548.0,1700556858.0,1275353.8,1700556525.0,1700557169.0,1700557064.0,1700557068.0,2182046.0,1700557169.0,1700557174.0,6.0,,6.0,644.0,5.0,310.0,373196673.0,4.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-32-35,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.7,0,0,0.1,9626785.0,4634197.0,1129.0,13.0,1.2,0.1,27505.1,115854.9
bwa_ID0000166,None,compute,0,1700556513.0,,,1700556519.0,1700556548.0,1700556853.0,1485846.5,1700556546.0,1700557169.0,1700557064.0,1700557068.0,2181422.0,1700557169.0,1700557174.0,6.0,,27.0,623.0,5.0,305.0,373196673.0,4.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-28-31,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.6,0,0,0.6,18973653.0,12732608.0,1523.0,26.0,1.6,0.1,46277.2,254652.2
bwa_ID0000188,None,compute,0,1700556513.0,,,1700556519.0,1700556528.0,1700556541.0,58935845.2,1700556526.0,1700556559.0,1700556549.0,1700556552.0,2320387.0,1700556559.0,1700556564.0,6.0,,7.0,33.0,5.0,13.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-40-43,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.6,0,0,,,,,,,,,
bwa_ID0000023,None,compute,0,1700556513.0,,,1700556519.0,1700556531.0,1700556546.0,61774102.3,1700556530.0,1700556564.0,1700556553.0,1700556556.0,2450853.0,1700556564.0,1700556569.0,6.0,,11.0,34.0,5.0,15.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-44-47,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000045,None,compute,0,1700556513.0,,,1700556519.0,1700556548.0,1700556853.0,1491721.3,1700556546.0,1700557169.0,1700557064.0,1700557068.0,2162248.0,1700557169.0,1700557174.0,6.0,,27.0,623.0,5.0,305.0,373196673.0,4.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-40-43,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.8,0,0,0.2,18973839.0,10417648.0,1523.0,23.0,1.7,0.1,46277.7,208353.0
bwa_ID0000067,None,compute,0,1700556513.0,,,1700556519.0,1700556546.0,1700556747.0,9234585.2,1700556525.0,1700557064.0,1700556857.0,1700556896.0,210505.0,1700557064.0,1700557069.0,6.0,,6.0,539.0,5.0,201.0,373196673.0,39.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-4-7,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.9,0,0,0.0,4879766.0,2315032.0,647.0,5.0,0.0,0.0,162658.9,115751.6
bwa_ID0000089,None,compute,0,1700556513.0,,,1700556519.0,1700556529.0,1700556543.0,53288659.0,1700556527.0,1700556564.0,1700556550.0,1700556554.0,2424684.0,1700556564.0,1700556569.0,6.0,,8.0,37.0,5.0,14.0,373196673.0,4.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-4-7,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000287,hdd_5,compute,0,1700556513.0,,,1700556519.0,1700556548.0,1700556853.0,1625314.6,1700556525.0,1700557174.0,1700557064.0,1700557166.0,78874.0,1700557174.0,1700557179.0,6.0,,6.0,649.0,5.0,305.0,373196673.0,102.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-8-11,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.6,0,0,5.4,18971998.0,12732608.0,1520.0,26.0,1.5,0.1,46273.2,254652.2
bwa_ID0000265,None,compute,0,1700556513.0,,,1700556519.0,1700556527.0,1700556540.0,58592702.2,1700556525.0,1700556559.0,1700556548.0,1700556551.0,2354833.0,1700556559.0,1700556564.0,6.0,,6.0,34.0,5.0,13.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-12-15,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000320,None,compute,0,1700556513.0,,,1700556519.0,1700556548.0,1700556747.0,8512599.3,1700556525.0,1700557064.0,1700556857.0,1700556896.0,210493.0,1700557064.0,1700557069.0,6.0,,6.0,539.0,5.0,199.0,373196673.0,39.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-12-15,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.9,0,0,0.0,4882610.0,2315020.0,653.0,4.0,0.0,0.0,162753.7,115751.0
bwa_ID0000221,None,compute,0,1700556513.0,,,1700556519.0,1700556526.0,1700556541.0,53317951.7,1700556525.0,1700556559.0,1700556548.0,1700556551.0,2319138.0,1700556559.0,1700556564.0,6.0,,6.0,34.0,5.0,15.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-20-23,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.7,0,0,,,,,,,,,
