,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000-genome_0_condorpool,auxiliary,0,1658771417.0,,,1658771418.0,1658771423.0,1658771428.0,1658771428.0,1658771433.0,1.0,,5.0,5.0,5.0,,,,,poseidon,local,host-10-100-100-16.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-07-24T20:26:55+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0
individuals_ID0000047,compute,0,1658771433.0,,,1658771438.0,1658771459.0,1658773990.0,1658773990.0,1658773995.0,5.0,,21.0,2531.0,5.0,182.0,2539481399.0,4.0,1489997.0,poseidon,condorpool,worker1-container-16-19,individuals,/var/lib/condor/execute/dir_108/pegasus.PwnoVy8yl/individuals,,2322.8,0,0
individuals_ID0000046,compute,0,1658771433.0,,,1658771438.0,1658771459.0,1658773980.0,1658773980.0,1658773985.0,5.0,,21.0,2521.0,5.0,135.0,2539481399.0,4.0,960276.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_107/pegasus.uCMcXvYBv/individuals,,2357.8,0,0
individuals_ID0000045,compute,0,1658771433.0,,,1658771438.0,1658771459.0,1658774105.0,1658774105.0,1658774110.0,5.0,,21.0,2646.0,5.0,227.0,2539481399.0,5.0,1312864.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_106/pegasus.Pb9RwzVm7/individuals,,2393.9,0,0
individuals_ID0000044,compute,0,1658771433.0,,,1658771438.0,1658771459.0,1658774151.0,1658774151.0,1658774156.0,5.0,,21.0,2692.0,5.0,197.0,2539481399.0,5.0,1029164.0,poseidon,condorpool,worker1-container-24-27,individuals,/var/lib/condor/execute/dir_106/pegasus.tu1aXHrfq/individuals,,2416.7,0,0
individuals_ID0000049,compute,0,1658771433.0,,,1658771438.0,1658771459.0,1658774110.0,1658774110.0,1658774115.0,5.0,,21.0,2651.0,5.0,165.0,2539481399.0,5.0,1438543.0,poseidon,condorpool,worker1-container-32-35,individuals,/var/lib/condor/execute/dir_107/pegasus.EotsMbood/individuals,,2293.1,0,0
individuals_ID0000048,compute,0,1658771433.0,,,1658771438.0,1658771459.0,1658773995.0,1658773995.0,1658774000.0,5.0,,21.0,2536.0,5.0,210.0,2539481399.0,5.0,1174902.0,poseidon,condorpool,worker2-container-12-15,individuals,/var/lib/condor/execute/dir_106/pegasus.9SGhO3HXS/individuals,,2297.6,0,0
individuals_ID0000032,compute,0,1658771433.0,,,1658771438.0,1658771459.0,1658774095.0,1658774095.0,1658774100.0,5.0,,21.0,2636.0,5.0,159.0,2539481399.0,5.0,1644635.0,poseidon,condorpool,worker1-container-28-31,individuals,/var/lib/condor/execute/dir_110/pegasus.RFm1BZWAf/individuals,,2304.1,0,0
individuals_ID0000031,compute,0,1658771433.0,,,1658771438.0,1658771459.0,1658774090.0,1658774090.0,1658774095.0,5.0,,21.0,2631.0,5.0,205.0,2539481399.0,4.0,1885837.0,poseidon,condorpool,worker1-container-20-23,individuals,/var/lib/condor/execute/dir_106/pegasus.wdLfN1AGs/individuals,,2297.8,0,0
individuals_ID0000030,compute,0,1658771433.0,,,1658771438.0,1658771460.0,1658774357.0,1658774357.0,1658774362.0,5.0,,22.0,2897.0,5.0,244.0,2539481399.0,5.0,2294308.0,poseidon,condorpool,worker1-container-36-39,individuals,/var/lib/condor/execute/dir_105/pegasus.XQwbVCFf3/individuals,,2353.4,0,0
individuals_ID0000036,compute,0,1658771433.0,,,1658771438.0,1658771459.0,1658774070.0,1658774070.0,1658774075.0,5.0,,21.0,2611.0,5.0,164.0,2539481399.0,5.0,844665.0,poseidon,condorpool,worker1-container-12-15,individuals,/var/lib/condor/execute/dir_105/pegasus.hSQInPgGw/individuals,,2421.0,0,0
sifting_ID0000104,compute,0,1658771433.0,,,1658771438.0,1658771459.0,1658771608.0,1658771608.0,1658771613.0,5.0,,21.0,149.0,5.0,105.0,1708159164.0,5.0,1055195.0,poseidon,condorpool,worker1-container-0-3,sifting,/var/lib/condor/execute/dir_105/pegasus.N79OEPiWZ/sifting,,4.7,0,0
individuals_ID0000035,compute,0,1658771433.0,,,1658771438.0,1658771459.0,1658773935.0,1658773935.0,1658773940.0,5.0,,21.0,2476.0,5.0,154.0,2539481399.0,5.0,2879768.0,poseidon,condorpool,worker2-container-32-35,individuals,/var/lib/condor/execute/dir_109/pegasus.oa2ZofMwh/individuals,,2302.0,0,0
individuals_ID0000033,compute,0,1658771433.0,,,1658771438.0,1658771459.0,1658773965.0,1658773965.0,1658773970.0,5.0,,21.0,2506.0,5.0,181.0,2539481399.0,4.0,1455665.0,poseidon,condorpool,worker2-container-0-3,individuals,/var/lib/condor/execute/dir_104/pegasus.bnpcfpe3y/individuals,,2300.4,0,0
individuals_ID0000039,compute,0,1658771433.0,,,1658771438.0,1658771459.0,1658773965.0,1658773965.0,1658773970.0,5.0,,21.0,2506.0,5.0,106.0,2539481399.0,5.0,1272734.0,poseidon,condorpool,worker2-container-8-11,individuals,/var/lib/condor/execute/dir_105/pegasus.sztfpMEZW/individuals,,2378.0,0,0
individuals_ID0000038,compute,0,1658771433.0,,,1658771438.0,1658771459.0,1658774115.0,1658774115.0,1658774120.0,5.0,,21.0,2656.0,5.0,222.0,2539481399.0,4.0,1986910.0,poseidon,condorpool,worker2-container-36-39,individuals,/var/lib/condor/execute/dir_105/pegasus.qeU8holGK/individuals,,2406.8,0,0
