,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,execute_start,execute_end,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode
create_dir_1000-genome_0_condorpool,normal,auxiliary,0,1659799305.0,,,1659799306.0,1659799310.0,1659799316.0,1659799316.0,1659799321.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,host-10-100-100-233.openstacklocal,pegasus::dirmanager,/home/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,-n pegasus::dirmanager -N null -i - -R local  -L 1000-genome -T 2022-08-03T06:30:23+00:00 /home/poseidon/pegasus-5.1.0panorama/bin/../bin/pegasus-transfer,0.2,0,0
individuals_ID0000047,normal,compute,0,1659799321.0,,,1659799327.0,1659799348.0,1659800378.0,1659800378.0,1659800383.0,6.0,,21.0,1030.0,5.0,68.0,1014283276.0,4.0,387822.0,poseidon,condorpool,worker1-container-28-31,individuals,/var/lib/condor/execute/dir_32769/pegasus.tj7FSg6Xr/individuals,,937.4,0,0
individuals_ID0000046,normal,compute,0,1659799321.0,,,1659799327.0,1659799348.0,1659800368.0,1659800368.0,1659800373.0,6.0,,21.0,1020.0,5.0,66.0,1014283276.0,5.0,356941.0,poseidon,condorpool,worker1-container-4-7,individuals,/var/lib/condor/execute/dir_35643/pegasus.C1E4A97VH/individuals,,932.5,0,0
individuals_ID0000045,normal,compute,0,1659799321.0,,,1659799327.0,1659799348.0,1659800378.0,1659800378.0,1659800383.0,6.0,,21.0,1030.0,5.0,47.0,1014283276.0,5.0,337263.0,poseidon,condorpool,worker2-container-28-31,individuals,/var/lib/condor/execute/dir_50585/pegasus.BCeekhR4B/individuals,,960.5,0,0
individuals_ID0000044,normal,compute,0,1659799321.0,,,1659799327.0,1659799348.0,1659800378.0,1659800378.0,1659800383.0,6.0,,21.0,1030.0,5.0,72.0,1014283276.0,5.0,465409.0,poseidon,condorpool,worker1-container-16-19,individuals,/var/lib/condor/execute/dir_38642/pegasus.DptoLo5Q9/individuals,,934.6,0,0
individuals_ID0000049,normal,compute,0,1659799321.0,,,1659799327.0,1659799348.0,1659800353.0,1659800353.0,1659800358.0,6.0,,21.0,1005.0,5.0,51.0,1014283276.0,5.0,409287.0,poseidon,condorpool,worker1-container-20-23,individuals,/var/lib/condor/execute/dir_41181/pegasus.bmbOzZzRp/individuals,,931.2,0,0
individuals_ID0000048,normal,compute,0,1659799321.0,,,1659799327.0,1659799348.0,1659800368.0,1659800368.0,1659800373.0,6.0,,21.0,1020.0,5.0,67.0,1014283276.0,5.0,488726.0,poseidon,condorpool,worker2-container-32-35,individuals,/var/lib/condor/execute/dir_45746/pegasus.W8EgWcxVw/individuals,,929.2,0,0
individuals_ID0000032,normal,compute,0,1659799321.0,,,1659799327.0,1659799348.0,1659800383.0,1659800383.0,1659800388.0,6.0,,21.0,1035.0,5.0,69.0,1014283276.0,4.0,325429.0,poseidon,condorpool,worker1-container-24-27,individuals,/var/lib/condor/execute/dir_39710/pegasus.SRuY4NQ8r/individuals,,942.0,0,0
individuals_ID0000031,normal,compute,0,1659799321.0,,,1659799327.0,1659799348.0,1659800353.0,1659800353.0,1659800358.0,6.0,,21.0,1005.0,5.0,39.0,1014283276.0,5.0,259723.0,poseidon,condorpool,worker2-container-4-7,individuals,/var/lib/condor/execute/dir_62582/pegasus.eIthQbMVV/individuals,,945.8,0,0
individuals_ID0000030,normal,compute,0,1659799321.0,,,1659799327.0,1659799348.0,1659800383.0,1659800383.0,1659800388.0,6.0,,21.0,1035.0,5.0,67.0,1014283276.0,4.0,221421.0,poseidon,condorpool,worker2-container-24-27,individuals,/var/lib/condor/execute/dir_49934/pegasus.akgRwTT7f/individuals,,948.1,0,0
