,anomaly_type,type,is_clustered,ready,pre_script_start,pre_script_end,submit,stage_in_start,stage_in_end,stage_in_effective_bytes_per_sec,execute_start,execute_end,stage_out_start,stage_out_end,stage_out_effective_bytes_per_sec,post_script_start,post_script_end,wms_delay,pre_script_delay,queue_delay,runtime,post_script_delay,stage_in_delay,stage_in_bytes,stage_out_delay,stage_out_bytes,kickstart_user,kickstart_site,kickstart_hostname,kickstart_transformations,kickstart_executables,kickstart_executables_argv,kickstart_executables_cpu_time,kickstart_status,kickstart_executables_exitcode,kickstart_online_iowait,kickstart_online_bytes_read,kickstart_online_bytes_written,kickstart_online_read_system_calls,kickstart_online_write_system_calls,kickstart_online_utime,kickstart_online_stime,kickstart_online_bytes_read_per_second,kickstart_online_bytes_written_per_second
create_dir_variant-calling_0_condorpool,None,auxiliary,0,1700224555.0,,,1700224556.0,,,0.0,1700224560.0,1700224566.0,,,0.0,1700224566.0,1700224571.0,1.0,,4.0,6.0,5.0,,,,,poseidon,local,poseidon-submit,pegasus::dirmanager,/mnt/poseidon-data/poseidon/pegasus-5.1.0panorama/bin/pegasus-transfer,pegasus-kickstart  -n pegasus::dirmanager -N null -i - -R local  -L variant-calling -T 2023-11-15T22:51:21+00:00 pegasus-transfer,0.2,0,0,,,,,,,,,
bwa_ID0000309,None,compute,0,1700224571.0,,,1700224576.0,1700224601.0,1700224616.0,50704071.7,1700224599.0,1700224636.0,1700224624.0,1700224627.0,2401243.0,1700224636.0,1700224641.0,5.0,,23.0,37.0,5.0,15.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-28-31,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.7,0,0,,,,,,,,,
bwa_ID0000144,None,compute,0,1700224571.0,,,1700224576.0,1700224603.0,1700224616.0,58843804.0,1700224601.0,1700224636.0,1700224624.0,1700224627.0,2434056.0,1700224636.0,1700224641.0,5.0,,25.0,35.0,5.0,13.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-0-3,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000166,None,compute,0,1700224571.0,,,1700224576.0,1700224600.0,1700224617.0,36498176.6,1700224598.0,1700224636.0,1700224625.0,1700224628.0,2419554.0,1700224636.0,1700224641.0,5.0,,22.0,38.0,5.0,17.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-44-47,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.6,0,0,,,,,,,,,
bwa_ID0000188,None,compute,0,1700224571.0,,,1700224576.0,1700224604.0,1700224617.0,59080253.8,1700224602.0,1700224636.0,1700224624.0,1700224627.0,2345240.0,1700224636.0,1700224641.0,5.0,,26.0,34.0,5.0,13.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-1-container-12-15,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.6,0,0,,,,,,,,,
bwa_ID0000023,None,compute,0,1700224571.0,,,1700224576.0,1700224598.0,1700224614.0,45121832.3,1700224596.0,1700224631.0,1700224621.0,1700224624.0,2411369.0,1700224631.0,1700224636.0,5.0,,20.0,35.0,5.0,16.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-40-43,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.8,0,0,,,,,,,,,
bwa_ID0000067,None,compute,0,1700224571.0,,,1700224576.0,1700224599.0,1700224613.0,57730618.8,1700224598.0,1700224631.0,1700224621.0,1700224624.0,2352740.0,1700224631.0,1700224636.0,5.0,,22.0,33.0,5.0,14.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-4-7,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.7,0,0,,,,,,,,,
bwa_ID0000089,None,compute,0,1700224571.0,,,1700224576.0,1700224598.0,1700224622.0,23496500.9,1700224597.0,1700224641.0,1700224629.0,1700224632.0,2441393.0,1700224641.0,1700224646.0,5.0,,21.0,44.0,5.0,24.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-8-11,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.4,0,0,,,,,,,,,
bwa_ID0000287,None,compute,0,1700224571.0,,,1700224576.0,1700224598.0,1700224616.0,35425439.4,1700224597.0,1700224636.0,1700224624.0,1700224627.0,2412539.0,1700224636.0,1700224641.0,5.0,,21.0,39.0,5.0,18.0,373196673.0,3.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-12-15,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.5,0,0,,,,,,,,,
bwa_ID0000265,None,compute,0,1700224571.0,,,1700224576.0,1700224598.0,1700224619.0,28005397.9,1700224596.0,1700224636.0,1700224626.0,1700224630.0,2422733.0,1700224636.0,1700224641.0,5.0,,20.0,40.0,5.0,21.0,373196673.0,4.0,8102405.0,poseidon,condorpool,poseidon-worker-2-container-16-19,bwa,/opt/software/install/bwa/0.7.17/bwa,,1.4,0,0,,,,,,,,,
