batch_size,dropout,hidden,hiddenlayer,layer_type,learning_rate,id,objective,elapsed_sec,duration
32,0.1,32,2,0,0.001,1,0.703760162601626,380.1135313510895,375.9090099334717
32.0,0.8661994257817841,19.0,2.0,0.0,0.032325033453043175,5,0.32113821138211385,391.9083580970764,387.7037773132324
37.0,0.6513926597750501,96.0,3.0,0.0,0.025480683630873982,3,0.32113821138211385,420.75256514549255,416.5480086803436
65.0,0.9678422908267323,13.0,1.0,1.0,0.0012048816447121642,6,0.32113821138211385,422.9053285121918,418.70073556900024
70.0,0.2171240224651301,23.0,3.0,0.0,0.056885161809116846,4,0.23628048780487804,433.04967737197876,428.84510803222656
74.0,0.4898441479517962,102.0,4.0,0.0,0.015698845064403485,7,0.4791666666666667,491.4491219520569,487.2445168495178
12.0,0.6283073672830344,39.0,3.0,1.0,0.0014918201366201469,2,0.5370934959349594,524.7996914386749,520.5951483249664
88.0,0.1834836759223522,85.0,4.0,1.0,0.002016494487751622,8,0.6067073170731707,618.7195193767548,614.5149018764496
20.0,0.914155559986516,61.0,2.0,0.0,0.03189320004548488,10,0.32113821138211385,699.2907195091248,306.95695400238037
85.0,0.8599829587387628,23.0,4.0,0.0,0.005940463602742899,9,0.4888211382113821,794.2302052974701,413.67585277557373
93.0,0.7130049144878563,55.0,1.0,1.0,0.055829109921778475,14,0.32113821138211385,822.0731155872345,330.18225836753845
81.0,0.7141439340691428,70.0,2.0,0.0,0.004265553850465044,15,0.681910569105691,846.5589373111725,321.225946187973
128.0,0.19311918301709285,101.0,4.0,0.0,0.0023884458358645055,12,0.7169715447154471,847.5583951473236,424.2181668281555
84.0,0.4222087738680993,9.0,4.0,1.0,0.018118300638268248,11,0.32113821138211385,930.9215378761292,509.6035451889038
54,0.14623781056540294,30,2,0,0.04767273680421182,16,0.32113821138211385,935.6305725574493,315.889577627182
84.0,0.9912671186538865,25.0,4.0,1.0,0.046381872836944796,13,0.32113821138211385,977.7744064331055,544.1814365386963
68,0.10316052284343728,58,2,1,0.0010255774115510133,17,0.6341463414634146,1087.1659319400787,386.87110137939453
77,0.04872427717601531,37,1,0,0.0010776912733268453,19,0.7317073170731707,1093.1699995994568,270.193088054657
18,0.5297919706445013,31,1,0,0.0012007903631296125,20,0.6834349593495935,1118.346109867096,270.7882468700409
71,0.11478665740768035,26,1,0,0.001884298166468547,21,0.7464430894308943,1131.5673966407776,283.0117537975311
120,0.23759607762044677,19,3,0,0.0010646223651619136,18,0.6371951219512195,1163.1723749637604,367.9133951663971
108,0.07182376861933602,70,1,0,0.012607278850927139,22,0.32113821138211385,1205.3505957126617,273.4019868373871
125,0.09081188059875911,31,2,0,0.0016292199953543236,23,0.7047764227642277,1260.0772485733032,323.4521369934082
115,0.08105144999085295,37,2,0,0.012958363233218287,24,0.32113821138211385,1301.1420595645905,322.3432857990265
93,0.933157456017832,50,1,0,0.001905555071045674,25,0.32113821138211385,1350.5039830207825,262.33200240135193
39,0.050860220816285946,80,1,0,0.003081696838548502,26,0.7596544715447154,1366.2455854415894,271.9259498119354
60,0.27728987600363997,16,1,0,0.001168015960422904,28,0.6753048780487805,1414.8244473934174,282.1586277484894
13,0.34754602919494704,12,1,0,0.0036381282252768913,29,0.6122967479674797,1439.7754831314087,275.6896984577179
124,0.058092740676063605,71,2,0,0.01201016961964971,27,0.40853658536585363,1440.8843247890472,321.47306418418884
60,0.3465202554464292,11,1,0,0.0019094423806499676,30,0.6788617886178862,1477.9022719860077,271.53849053382874
71,0.9485372762295109,9,1,0,0.001014129474315658,31,0.32113821138211385,1536.226921081543,275.12908387184143
